Strategy report
Symbol: AAPL
Work Time: 4/27/20 2:44 PM - 5/1/20 3:59 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;StiffnessStrat(StiffnessLE);Buy to Open;100.0;$282.94;4/27/20 2:44 PM;;($4.01);100.0;
2;StiffnessStrat(StiffnessTimeLX);Sell to Close;-100.0;$284.40;4/28/20 9:39 AM;$146.00;$146.00;0.0;
3;StiffnessStrat(StiffnessLE);Buy to Open;100.0;$288.43;4/29/20 10:25 AM;;$146.00;100.0;
4;StiffnessStrat(StiffnessTimeLX);Sell to Close;-100.0;$287.24;4/29/20 11:50 AM;($119.00);$27.00;0.0;
5;StiffnessStrat(StiffnessLE);Buy to Open;100.0;$288.14;4/29/20 3:20 PM;;$31.43;100.0;
6;StiffnessStrat(StiffnessTimeLX);Sell to Close;-100.0;$291.40;4/30/20 10:15 AM;$325.64;$352.64;0.0;
7;StiffnessStrat(StiffnessLE);Buy to Open;100.0;$292.08;5/1/20 3:13 PM;;$367.94;100.0;
8;StiffnessStrat(StiffnessLX);Sell to Close;-100.0;$288.76;5/1/20 3:59 PM;($332.00);$20.64;0.0;


Max trade P/L: $325.64;

Total P/L: $20.64;

Total order(s): 4;
