Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:43 AM - 5/1/20 11:44 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ADXTrend(ADX_StrongUptrendLE);Buy to Open;100.0;$279.31;4/24/20 9:43 AM;;($25.00);100.0;
2;ADXTrend(MovAvgLX);Sell to Close;-100.0;$278.40;4/24/20 9:44 AM;($91.00);($91.00);0.0;
3;ADXTrend(ADX_StrongUptrendLE);Buy to Open;100.0;$280.39;4/24/20 10:38 AM;;($96.00);100.0;
4;ADXTrend(MovAvgLX);Sell to Close;-100.0;$279.90;4/24/20 10:43 AM;($49.00);($140.00);0.0;
5;ADXTrend(ADX_DowntrendSE);Sell to Open;-100.0;$278.70;4/24/20 11:04 AM;;($128.00);-100.0;
6;ADXTrend(MovAvgSX);Buy to Close;100.0;$279.03;4/24/20 11:16 AM;($33.00);($173.00);0.0;
7;ADXTrend(ADX_StrongDowntrendSE);Sell to Open;-100.0;$282.09;4/24/20 7:35 PM;;($154.00);-100.0;
8;ADXTrend(MovAvgSX);Buy to Close;100.0;$284.70;4/27/20 6:43 AM;($261.00);($434.00);0.0;
9;ADXTrend(ADX_StrongDowntrendSE);Sell to Open;-100.0;$280.46;4/27/20 9:32 AM;;($451.00);-100.0;
10;ADXTrend(MovAvgSX);Buy to Close;100.0;$280.76;4/27/20 9:38 AM;($30.00);($464.00);0.0;
11;ADXTrend(ADX_UptrendLE);Buy to Open;100.0;$281.94;4/27/20 9:50 AM;;($454.86);100.0;
12;ADXTrend(MovAvgLX);Sell to Close;-100.0;$283.85;4/27/20 10:09 AM;$191.14;($272.86);0.0;
13;ADXTrend(ADX_StrongDowntrendSE);Sell to Open;-100.0;$282.19;4/27/20 10:35 AM;;($273.86);-100.0;
14;ADXTrend(MovAvgSX);Buy to Close;100.0;$281.93;4/27/20 10:52 AM;$26.00;($246.86);0.0;
15;ADXTrend(ADX_StrongUptrendLE);Buy to Open;100.0;$282.95;4/27/20 11:19 AM;;($261.70);100.0;
16;ADXTrend(MovAvgLX);Sell to Close;-100.0;$282.70;4/27/20 11:41 AM;($25.00);($271.86);0.0;
17;ADXTrend(ADX_StrongDowntrendSE);Sell to Open;-100.0;$281.75;4/27/20 12:03 PM;;($251.85);-100.0;
18;ADXTrend(MovAvgSX);Buy to Close;100.0;$282.15;4/27/20 12:17 PM;($39.99);($311.85);0.0;
19;ADXTrend(ADX_StrongUptrendLE);Buy to Open;100.0;$282.17;4/27/20 2:02 PM;;($331.38);100.0;
