Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:42 AM - 5/1/20 11:41 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$278.93;4/24/20 9:42 AM;;$13.20;100.0;
2;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$278.89;4/24/20 9:43 AM;($3.73);($3.73);0.0;
3;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$278.56;4/24/20 9:50 AM;;$16.27;100.0;
4;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;($13.00);($16.73);0.0;
5;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$278.51;4/24/20 10:01 AM;;($40.23);100.0;
6;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$278.05;4/24/20 10:02 AM;($46.00);($62.73);0.0;
7;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$279.32;4/24/20 10:14 AM;;($71.73);100.0;
8;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$279.01;4/24/20 10:16 AM;($31.00);($93.73);0.0;
9;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$279.48;4/24/20 10:18 AM;;($85.73);100.0;
10;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$279.43;4/24/20 10:21 AM;($5.00);($98.73);0.0;
11;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$279.91;4/24/20 10:21 AM;;($101.48);100.0;
12;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$279.86;4/24/20 10:24 AM;($5.00);($103.73);0.0;
13;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$279.99;4/24/20 10:32 AM;;($120.71);100.0;
14;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$280.16;4/24/20 10:37 AM;$17.02;($86.71);0.0;
15;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$279.80;4/24/20 12:25 PM;;($75.71);100.0;
16;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$280.32;4/24/20 12:46 PM;$52.00;($34.71);0.0;
17;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$280.81;4/24/20 1:06 PM;;($40.21);100.0;
18;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$280.60;4/24/20 1:10 PM;($21.50);($56.21);0.0;
19;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$281.03;4/24/20 1:40 PM;;($70.21);100.0;
20;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$280.92;4/24/20 1:52 PM;($11.00);($67.21);0.0;
21;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$281.50;4/24/20 2:06 PM;;($70.21);100.0;
22;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$281.61;4/24/20 2:21 PM;$11.00;($56.21);0.0;
23;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$281.48;4/24/20 2:39 PM;;($55.21);100.0;
24;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$281.20;4/24/20 2:42 PM;($28.00);($84.21);0.0;
25;AccumulationDistributionStrat(AccumulationDistributionLE);Buy to Open;100.0;$281.46;4/24/20 3:08 PM;;($87.21);100.0;
26;AccumulationDistributionStrat(AccumulationDistributionLX);Sell to Close;-100.0;$281.24;4/24/20 3:11 PM;($22.00);($106.21);0.0;
