Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:38 AM - 5/1/20 11:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Donchian(DonchianLE);Buy to Open;100.0;$278.62;4/24/20 9:38 AM;;$13.00;100.0;
2;Donchian(DonchianLX);Sell to Close;-100.0;$278.24;4/24/20 9:46 AM;($38.00);($38.00);0.0;
3;Donchian(DonchianSE);Sell to Open;-100.0;$277.47;4/24/20 9:56 AM;;($25.00);-100.0;
4;Donchian(DonchianSX);Buy to Close;100.0;$278.20;4/24/20 10:01 AM;($73.00);($111.00);0.0;
5;Donchian(DonchianLE);Buy to Open;100.0;$278.72;4/24/20 10:06 AM;;($114.00);100.0;
6;Donchian(DonchianLX);Sell to Close;-100.0;$279.60;4/24/20 10:25 AM;$88.00;($23.00);0.0;
7;Donchian(DonchianLE);Buy to Open;100.0;$280.24;4/24/20 10:36 AM;;($11.00);100.0;
8;Donchian(DonchianLX);Sell to Close;-100.0;$279.95;4/24/20 10:41 AM;($29.00);($52.00);0.0;
9;Donchian(DonchianSE);Sell to Open;-100.0;$279.60;4/24/20 10:49 AM;;($77.00);-100.0;
10;Donchian(DonchianSX);Buy to Close;100.0;$279.79;4/24/20 10:55 AM;($19.00);($71.00);0.0;
11;Donchian(DonchianSE);Sell to Open;-100.0;$279.47;4/24/20 10:59 AM;;($50.00);-100.0;
12;Donchian(DonchianSX);Buy to Close;100.0;$278.99;4/24/20 11:16 AM;$48.00;($23.00);0.0;
13;Donchian(DonchianLE);Buy to Open;100.0;$279.75;4/24/20 12:24 PM;;($18.00);100.0;
14;Donchian(DonchianLX);Sell to Close;-100.0;$279.94;4/24/20 12:37 PM;$19.00;($4.00);0.0;
15;Donchian(DonchianLE);Buy to Open;100.0;$280.24;4/24/20 12:40 PM;;$0.00;100.0;
16;Donchian(DonchianLX);Sell to Close;-100.0;$280.32;4/24/20 12:54 PM;$8.00;$4.00;0.0;
17;Donchian(DonchianLE);Buy to Open;100.0;$281.06;4/24/20 1:43 PM;;$0.00;100.0;
18;Donchian(DonchianLX);Sell to Close;-100.0;$280.98;4/24/20 1:50 PM;($8.00);($4.00);0.0;
19;Donchian(DonchianLE);Buy to Open;100.0;$281.48;4/24/20 2:07 PM;;($4.00);100.0;
20;Donchian(DonchianLX);Sell to Close;-100.0;$281.45;4/24/20 2:22 PM;($3.00);($7.00);0.0;
21;Donchian(DonchianSE);Sell to Open;-100.0;$281.09;4/24/20 2:25 PM;;($15.80);-100.0;
22;Donchian(DonchianSX);Buy to Close;100.0;$281.48;4/24/20 2:39 PM;($38.80);($45.80);0.0;
23;Donchian(DonchianSE);Sell to Open;-100.0;$280.86;4/24/20 3:00 PM;;($39.80);-100.0;
24;Donchian(DonchianSX);Buy to Close;100.0;$281.13;4/24/20 3:07 PM;($27.00);($72.80);0.0;
25;Donchian(DonchianLE);Buy to Open;100.0;$281.92;4/24/20 3:27 PM;;($77.80);100.0;
26;Donchian(DonchianLX);Sell to Close;-100.0;$281.64;4/24/20 3:34 PM;($28.00);($100.80);0.0;
27;Donchian(DonchianLE);Buy to Open;100.0;$282.00;4/24/20 3:39 PM;;($91.80);100.0;
28;Donchian(DonchianLX);Sell to Close;-100.0;$282.50;4/24/20 3:48 PM;$50.00;($50.80);0.0;
29;Donchian(DonchianSE);Sell to Open;-100.0;$282.12;4/24/20 3:50 PM;;($43.14);-100.0;
30;Donchian(DonchianSX);Buy to Close;100.0;$282.43;4/24/20 3:54 PM;($30.99);($81.79);0.0;
