Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:43 AM - 5/1/20 11:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$279.33;4/24/20 9:43 AM;;$8.34;100.0;
2;ERTrend(MovAvgLX);Sell to Close;-100.0;$278.40;4/24/20 9:44 AM;($92.66);($92.66);0.0;
3;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$278.08;4/24/20 9:49 AM;;($122.66);-100.0;
4;ERTrend(MovAvgSX);Buy to Close;100.0;$278.49;4/24/20 9:50 AM;($41.00);($133.66);0.0;
5;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$277.55;4/24/20 9:59 AM;;($162.65);-100.0;
6;ERTrend(MovAvgSX);Buy to Close;100.0;$278.20;4/24/20 10:01 AM;($65.00);($198.66);0.0;
7;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$279.50;4/24/20 10:18 AM;;($201.66);100.0;
8;ERTrend(MovAvgLX);Sell to Close;-100.0;$279.39;4/24/20 10:26 AM;($11.00);($209.66);0.0;
9;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$280.24;4/24/20 10:36 AM;;($197.66);100.0;
10;ERTrend(MovAvgLX);Sell to Close;-100.0;$279.90;4/24/20 10:43 AM;($34.00);($243.66);0.0;
11;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$278.77;4/24/20 11:03 AM;;($234.08);-100.0;
12;ERTrend(MovAvgSX);Buy to Close;100.0;$279.03;4/24/20 11:16 AM;($26.00);($269.66);0.0;
13;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$279.43;4/24/20 11:27 AM;;($284.65);100.0;
14;ERTrend(MovAvgLX);Sell to Close;-100.0;$278.74;4/24/20 11:31 AM;($69.00);($338.66);0.0;
15;ERTrend(ER_UptrendLE);Buy to Open;100.0;$279.35;4/24/20 11:49 AM;;($333.66);100.0;
16;ERTrend(MovAvgLX);Sell to Close;-100.0;$279.04;4/24/20 11:56 AM;($31.00);($369.66);0.0;
17;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$279.99;4/24/20 12:29 PM;;($363.66);100.0;
18;ERTrend(MovAvgLX);Sell to Close;-100.0;$280.27;4/24/20 1:01 PM;$27.97;($341.69);0.0;
19;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$281.65;4/24/20 2:08 PM;;($338.69);100.0;
20;ERTrend(MovAvgLX);Sell to Close;-100.0;$281.46;4/24/20 2:23 PM;($19.00);($360.69);0.0;
21;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$280.83;4/24/20 3:03 PM;;($356.69);-100.0;
22;ERTrend(MovAvgSX);Buy to Close;100.0;$281.26;4/24/20 3:08 PM;($43.01);($403.70);0.0;
23;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$282.40;4/24/20 3:41 PM;;($406.70);100.0;
24;ERTrend(MovAvgLX);Sell to Close;-100.0;$282.35;4/24/20 3:49 PM;($4.99);($408.69);0.0;
25;ERTrend(ER_UptrendLE);Buy to Open;100.0;$282.61;4/24/20 3:56 PM;;($400.50);100.0;
26;ERTrend(MovAvgLX);Sell to Close;-100.0;$282.58;4/24/20 3:59 PM;($3.00);($411.69);0.0;
27;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$281.19;4/27/20 9:40 AM;;($438.69);100.0;
28;ERTrend(MovAvgLX);Sell to Close;-100.0;$280.36;4/27/20 9:41 AM;($83.00);($494.69);0.0;
29;ERTrend(ER_UptrendLE);Buy to Open;100.0;$281.48;4/27/20 9:49 AM;;($493.69);100.0;
30;ERTrend(MovAvgLX);Sell to Close;-100.0;$283.85;4/27/20 10:09 AM;$237.00;($257.69);0.0;
31;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$282.97;4/27/20 10:28 AM;;($268.93);-100.0;
32;ERTrend(MovAvgSX);Buy to Close;100.0;$281.93;4/27/20 10:52 AM;$103.76;($153.93);0.0;
33;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$282.84;4/27/20 11:21 AM;;($153.93);100.0;
34;ERTrend(MovAvgLX);Sell to Close;-100.0;$282.70;4/27/20 11:41 AM;($14.00);($167.93);0.0;
35;ERTrend(ER_StrongDowntrendSE);Sell to Open;-100.0;$282.36;4/27/20 11:58 AM;;($146.93);-100.0;
36;ERTrend(MovAvgSX);Buy to Close;100.0;$282.15;4/27/20 12:17 PM;$21.00;($146.93);0.0;
37;ERTrend(ER_StrongUptrendLE);Buy to Open;100.0;$281.46;4/27/20 1:41 PM;;($173.87);100.0;
