Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:32 AM - 5/1/20 11:57 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$277.86;4/24/20 9:32 AM;;$30.00;100.0;
2;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$278.62;4/24/20 9:38 AM;$76.00;$76.00;0.0;
3;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$278.62;4/24/20 9:38 AM;;$65.00;-100.0;
4;EhlersStoch(EhlersStochLE);Buy to Close;100.0;$278.40;4/24/20 9:44 AM;$22.00;$98.00;0.0;
5;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$278.40;4/24/20 9:44 AM;;$117.00;100.0;
6;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$278.22;4/24/20 9:49 AM;($18.00);$80.00;0.0;
7;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$278.22;4/24/20 9:49 AM;;$94.00;-100.0;
8;EhlersStoch(EhlersStochLE);Buy to Close;100.0;$278.01;4/24/20 9:55 AM;$21.10;$101.10;0.0;
9;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$278.01;4/24/20 9:55 AM;;$77.20;100.0;
10;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$277.98;4/24/20 10:00 AM;($2.90);$98.20;0.0;
11;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$277.98;4/24/20 10:00 AM;;$87.20;-100.0;
12;EhlersStoch(EhlersStochLE);Buy to Close;100.0;$277.91;4/24/20 10:09 AM;$7.00;$105.20;0.0;
13;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$277.91;4/24/20 10:09 AM;;$143.20;100.0;
14;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$278.97;4/24/20 10:12 AM;$106.00;$211.20;0.0;
15;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$278.97;4/24/20 10:12 AM;;$219.20;-100.0;
16;EhlersStoch(EhlersStochLE);Buy to Close;100.0;$279.36;4/24/20 10:18 AM;($39.00);$172.20;0.0;
17;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$279.36;4/24/20 10:18 AM;;$186.20;100.0;
18;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$279.96;4/24/20 10:22 AM;$60.00;$232.20;0.0;
19;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$279.96;4/24/20 10:22 AM;;$225.20;-100.0;
20;EhlersStoch(EhlersStochLE);Buy to Close;100.0;$279.70;4/24/20 10:24 AM;$26.04;$258.24;0.0;
21;EhlersStoch(EhlersStochLE);Buy to Open;100.0;$279.70;4/24/20 10:24 AM;;$262.28;100.0;
22;EhlersStoch(EhlersStochSE);Sell to Close;-100.0;$279.44;4/24/20 10:30 AM;($25.96);$232.28;0.0;
23;EhlersStoch(EhlersStochSE);Sell to Open;-100.0;$279.44;4/24/20 10:30 AM;;$226.28;-100.0;
