Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:31 AM - 5/1/20 12:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$277.96;4/24/20 9:31 AM;;$28.00;100.0;
2;GandalfProjectResearchSystem(GandalfTimeGainLX);Sell to Close;-100.0;$278.18;4/24/20 9:33 AM;$21.50;$21.50;0.0;
3;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.02;4/24/20 9:33 AM;;$32.50;100.0;
4;GandalfProjectResearchSystem(GandalfLX);Sell to Close;-100.0;$277.95;4/24/20 9:35 AM;($7.00);$14.50;0.0;
5;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$277.94;4/24/20 9:36 AM;;$3.66;100.0;
6;GandalfProjectResearchSystem(GandalfTimeGainLX);Sell to Close;-100.0;$278.43;4/24/20 9:38 AM;$49.50;$64.00;0.0;
7;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.45;4/24/20 9:39 AM;;$96.00;100.0;
8;GandalfProjectResearchSystem(GandalfTimeGainLX);Sell to Close;-100.0;$279.31;4/24/20 9:43 AM;$86.00;$150.00;0.0;
9;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.89;4/24/20 9:43 AM;;$131.74;100.0;
10;GandalfProjectResearchSystem(GandalfTimeLX);Sell to Close;-100.0;$278.56;4/24/20 9:46 AM;($33.27);$116.73;0.0;
11;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.24;4/24/20 9:46 AM;;$119.73;100.0;
12;GandalfProjectResearchSystem(GandalfTimeGainLX);Sell to Close;-100.0;$278.25;4/24/20 9:48 AM;$1.45;$118.18;0.0;
13;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.08;4/24/20 9:49 AM;;$148.18;100.0;
14;GandalfProjectResearchSystem(GandalfTimeGainLX);Sell to Close;-100.0;$278.83;4/24/20 9:51 AM;$74.50;$192.68;0.0;
15;GandalfProjectResearchSystem(GandalfLE);Buy to Open;100.0;$278.76;4/24/20 9:52 AM;;$177.68;100.0;
16;GandalfProjectResearchSystem(GandalfTimeLX);Sell to Close;-100.0;$277.76;4/24/20 9:55 AM;($100.00);$92.68;0.0;
