Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:46 AM - 5/1/20 12:06 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$278.04;4/24/20 9:46 AM;;$0.00;-100.0;
2;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$278.53;4/24/20 9:50 AM;($49.20);($49.20);0.0;
3;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$278.53;4/24/20 9:50 AM;;($46.40);100.0;
4;HACOLTStrat(HACOLT_SE);Sell to Close;-100.0;$278.14;4/24/20 9:54 AM;($38.78);($87.98);0.0;
5;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$278.14;4/24/20 9:54 AM;;($77.56);-100.0;
6;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$278.06;4/24/20 10:00 AM;$8.42;($79.56);0.0;
7;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$278.06;4/24/20 10:00 AM;;($65.56);100.0;
8;HACOLTStrat(HACOLT_LX);Sell to Close;-100.0;$279.70;4/24/20 10:24 AM;$163.96;$84.40;0.0;
9;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$279.39;4/24/20 10:26 AM;;$85.40;-100.0;
10;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$279.99;4/24/20 10:32 AM;($59.98);$24.42;0.0;
11;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$279.99;4/24/20 10:32 AM;;$7.44;100.0;
12;HACOLTStrat(HACOLT_LX);Sell to Close;-100.0;$280.03;4/24/20 10:41 AM;$4.02;$28.44;0.0;
13;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$279.90;4/24/20 10:43 AM;;$52.44;-100.0;
14;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$279.79;4/24/20 10:55 AM;$11.00;$39.44;0.0;
15;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$279.79;4/24/20 10:55 AM;;$37.44;100.0;
16;HACOLTStrat(HACOLT_SE);Sell to Close;-100.0;$279.27;4/24/20 11:00 AM;($52.07);($12.63);0.0;
17;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$279.27;4/24/20 11:00 AM;;($11.28);-100.0;
18;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$278.75;4/24/20 11:08 AM;$51.93;$39.30;0.0;
19;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$278.75;4/24/20 11:08 AM;;$28.30;100.0;
20;HACOLTStrat(HACOLT_SE);Sell to Close;-100.0;$278.33;4/24/20 11:11 AM;($42.00);($2.70);0.0;
21;HACOLTStrat(HACOLT_SE);Sell to Open;-100.0;$278.33;4/24/20 11:11 AM;;$13.30;-100.0;
22;HACOLTStrat(HACOLT_LE);Buy to Close;100.0;$278.99;4/24/20 11:16 AM;($66.00);($68.70);0.0;
23;HACOLTStrat(HACOLT_LE);Buy to Open;100.0;$278.99;4/24/20 11:16 AM;;($63.70);100.0;
