Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:51 AM - 5/1/20 12:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$278.83;4/24/20 9:51 AM;;($14.50);100.0;
2;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$278.01;4/24/20 9:55 AM;($81.60);($81.60);0.0;
3;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$278.28;4/24/20 10:02 AM;;($104.60);100.0;
4;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$279.39;4/24/20 10:26 AM;$111.00;$29.40;0.0;
5;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$279.94;4/24/20 10:33 AM;;$24.40;100.0;
6;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$279.65;4/24/20 10:43 AM;($29.00);$0.40;0.0;
7;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$279.05;4/24/20 11:17 AM;;($5.60);100.0;
8;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$278.39;4/24/20 11:32 AM;($65.93);($65.53);0.0;
9;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$279.17;4/24/20 11:37 AM;;($78.53);100.0;
10;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$278.91;4/24/20 11:58 AM;($26.00);($91.53);0.0;
11;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$279.36;4/24/20 12:06 PM;;($99.03);100.0;
12;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$280.34;4/24/20 12:55 PM;$98.00;$6.47;0.0;
13;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$280.60;4/24/20 1:04 PM;;$15.97;100.0;
14;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$280.40;4/24/20 1:12 PM;($19.86);($13.39);0.0;
15;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$280.47;4/24/20 1:16 PM;;($17.39);100.0;
16;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$280.84;4/24/20 1:57 PM;$37.00;$23.61;0.0;
17;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$281.26;4/24/20 1:59 PM;;$28.61;100.0;
18;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$281.27;4/24/20 2:24 PM;$1.00;$24.61;0.0;
19;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$281.34;4/24/20 2:43 PM;;$13.62;100.0;
20;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$281.25;4/24/20 2:55 PM;($8.99);$15.62;0.0;
21;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$281.44;4/24/20 3:08 PM;;$22.62;100.0;
22;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$281.15;4/24/20 3:12 PM;($29.00);($13.38);0.0;
23;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$281.30;4/24/20 3:13 PM;;($4.38);100.0;
24;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$282.35;4/24/20 3:49 PM;$105.01;$91.63;0.0;
25;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$282.68;4/24/20 3:50 PM;;$88.63;100.0;
26;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$282.34;4/24/20 3:50 PM;($34.00);$57.63;0.0;
27;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$282.54;4/24/20 3:54 PM;;$67.63;100.0;
28;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$282.46;4/24/20 3:59 PM;($8.19);$49.44;0.0;
29;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$282.96;4/24/20 4:00 PM;;$43.44;100.0;
30;IFT_Stoch(IFT_StochLX);Sell to Close;-100.0;$282.09;4/24/20 7:35 PM;($87.00);($37.56);0.0;
31;IFT_Stoch(IFT_StochLE);Buy to Open;100.0;$282.97;4/27/20 7:00 AM;;($42.56);100.0;
