Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:45 AM - 5/1/20 11:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;LongHaul(LongHaulLE);Buy to Open;100.0;$278.62;4/24/20 9:45 AM;;($5.00);100.0;
2;LongHaul(LongHaulStopLX);Sell to Close;-100.0;$278.24;4/24/20 9:46 AM;($38.00);($38.00);0.0;
3;LongHaul(LongHaulLE);Buy to Open;100.0;$277.66;4/24/20 9:57 AM;;($28.00);100.0;
4;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$277.71;4/24/20 9:58 AM;$5.00;($33.00);0.0;
5;LongHaul(LongHaulLE);Buy to Open;100.0;$278.50;4/24/20 10:10 AM;;($19.00);100.0;
6;LongHaul(LongHaulStopLX);Sell to Close;-100.0;$279.18;4/24/20 10:15 AM;$68.00;$35.00;0.0;
7;LongHaul(LongHaulLE);Buy to Open;100.0;$279.57;4/24/20 10:27 AM;;$17.50;100.0;
8;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$279.38;4/24/20 10:27 AM;($18.50);$16.50;0.0;
9;LongHaul(LongHaulLE);Buy to Open;100.0;$279.97;4/24/20 10:44 AM;;$26.50;100.0;
10;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$279.84;4/24/20 10:46 AM;($13.00);$3.50;0.0;
11;LongHaul(LongHaulLE);Buy to Open;100.0;$279.88;4/24/20 10:50 AM;;($10.27);100.0;
12;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$279.52;4/24/20 10:51 AM;($35.77);($32.27);0.0;
13;LongHaul(LongHaulLE);Buy to Open;100.0;$280.49;4/24/20 12:56 PM;;($44.27);100.0;
14;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$280.38;4/24/20 12:57 PM;($11.50);($43.77);0.0;
15;LongHaul(LongHaulLE);Buy to Open;100.0;$280.67;4/24/20 1:13 PM;;($31.77);100.0;
16;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$280.46;4/24/20 1:15 PM;($21.00);($64.77);0.0;
17;LongHaul(LongHaulLE);Buy to Open;100.0;$280.64;4/24/20 1:25 PM;;($59.76);100.0;
18;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$280.50;4/24/20 1:27 PM;($14.49);($79.26);0.0;
19;LongHaul(LongHaulLE);Buy to Open;100.0;$281.03;4/24/20 1:58 PM;;($68.26);100.0;
20;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$281.18;4/24/20 2:01 PM;$15.00;($64.26);0.0;
21;LongHaul(LongHaulLE);Buy to Open;100.0;$281.48;4/24/20 2:39 PM;;($65.26);100.0;
22;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$281.34;4/24/20 2:41 PM;($14.00);($78.26);0.0;
23;LongHaul(LongHaulLE);Buy to Open;100.0;$281.17;4/24/20 3:12 PM;;($82.25);100.0;
24;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$281.15;4/24/20 3:12 PM;($2.00);($80.26);0.0;
25;LongHaul(LongHaulLE);Buy to Open;100.0;$281.72;4/24/20 3:23 PM;;($84.26);100.0;
26;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$281.73;4/24/20 3:26 PM;$1.00;($79.26);0.0;
27;LongHaul(LongHaulLE);Buy to Open;100.0;$282.46;4/24/20 3:49 PM;;($65.26);100.0;
28;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$282.65;4/24/20 3:50 PM;$19.00;($60.26);0.0;
29;LongHaul(LongHaulLE);Buy to Open;100.0;$282.28;4/24/20 3:51 PM;;($45.26);100.0;
30;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$282.16;4/24/20 3:51 PM;($11.80);($72.06);0.0;
31;LongHaul(LongHaulLE);Buy to Open;100.0;$282.71;4/24/20 3:59 PM;;($59.06);100.0;
32;LongHaul(LongHaulStopLX);Sell to Close;-100.0;$282.90;4/24/20 4:06 PM;$19.00;($53.06);0.0;
33;LongHaul(LongHaulLE);Buy to Open;100.0;$284.70;4/27/20 6:43 AM;;($226.06);100.0;
34;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$282.92;4/27/20 7:08 AM;($178.00);($231.06);0.0;
35;LongHaul(LongHaulLE);Buy to Open;100.0;$284.27;4/27/20 10:07 AM;;($249.06);100.0;
36;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$284.07;4/27/20 10:07 AM;($19.98);($251.04);0.0;
37;LongHaul(LongHaulLE);Buy to Open;100.0;$283.60;4/27/20 10:11 AM;;($239.62);100.0;
38;LongHaul(LongHaulCrossLX);Sell to Close;-100.0;$283.66;4/27/20 10:12 AM;$6.11;($244.93);0.0;
39;LongHaul(LongHaulLE);Buy to Open;100.0;$282.89;4/27/20 11:43 AM;;($259.93);100.0;
