Strategy report
Symbol: AAPL
Work Time: 4/24/20 7:43 AM - 5/1/20 12:21 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrat(MACDStratSE);Sell to Open;-100.0;$276.00;4/24/20 7:43 AM;;($14.00);-100.0;
2;MACDStrat(MACDStratLE);Buy to Close;100.0;$276.49;4/24/20 8:37 AM;($49.00);($49.00);0.0;
3;MACDStrat(MACDStratLE);Buy to Open;100.0;$276.49;4/24/20 8:37 AM;;$3.00;100.0;
4;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.22;4/24/20 9:32 AM;$173.00;$124.00;0.0;
5;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.22;4/24/20 9:32 AM;;$126.00;-100.0;
6;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.43;4/24/20 9:38 AM;($21.00);$103.00;0.0;
7;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.43;4/24/20 9:38 AM;;$102.50;100.0;
8;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.71;4/24/20 9:43 AM;$28.01;$131.01;0.0;
9;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.71;4/24/20 9:43 AM;;$139.02;-100.0;
10;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.21;4/24/20 9:48 AM;$49.67;$180.68;0.0;
11;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.21;4/24/20 9:48 AM;;$181.34;100.0;
12;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.21;4/24/20 9:54 AM;($0.34);$180.34;0.0;
13;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.21;4/24/20 9:54 AM;;$186.92;-100.0;
14;MACDStrat(MACDStratLE);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;$38.00;$218.34;0.0;
15;MACDStrat(MACDStratLE);Buy to Open;100.0;$277.83;4/24/20 10:00 AM;;$218.34;100.0;
16;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.26;4/24/20 10:09 AM;$43.01;$261.35;0.0;
17;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.26;4/24/20 10:09 AM;;$296.35;-100.0;
18;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.68;4/24/20 10:11 AM;($41.99);$219.36;0.0;
19;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.68;4/24/20 10:11 AM;;$229.36;100.0;
20;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.01;4/24/20 10:16 AM;$33.00;$252.36;0.0;
21;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.01;4/24/20 10:16 AM;;$231.36;-100.0;
22;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.48;4/24/20 10:18 AM;($47.00);$205.36;0.0;
23;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.48;4/24/20 10:18 AM;;$213.36;100.0;
24;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.43;4/24/20 10:21 AM;($5.00);$200.36;0.0;
25;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.43;4/24/20 10:21 AM;;$191.36;-100.0;
26;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.84;4/24/20 10:21 AM;($41.00);$159.36;0.0;
27;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.84;4/24/20 10:21 AM;;$175.36;100.0;
28;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.04;4/24/20 10:23 AM;$20.00;$179.36;0.0;
29;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.04;4/24/20 10:23 AM;;$178.36;-100.0;
30;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.60;4/24/20 10:32 AM;$44.00;$223.36;0.0;
31;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.60;4/24/20 10:32 AM;;$254.36;100.0;
32;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.23;4/24/20 10:39 AM;$63.00;$286.36;0.0;
33;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.23;4/24/20 10:39 AM;;$286.36;-100.0;
34;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.65;4/24/20 10:54 AM;$58.01;$344.37;0.0;
35;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.65;4/24/20 10:54 AM;;$358.38;100.0;
36;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.45;4/24/20 10:58 AM;($19.99);$324.38;0.0;
37;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.45;4/24/20 10:58 AM;;$311.38;-100.0;
38;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.77;4/24/20 11:06 AM;$68.00;$392.38;0.0;
39;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.77;4/24/20 11:06 AM;;$402.38;100.0;
40;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.17;4/24/20 11:11 AM;($60.00);$332.38;0.0;
41;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.17;4/24/20 11:11 AM;;$291.38;-100.0;
42;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.60;4/24/20 11:12 AM;($42.84);$289.54;0.0;
43;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.60;4/24/20 11:12 AM;;$287.70;100.0;
44;MACDStrat(MACDStratSE);Sell to Close;-100.0;$278.21;4/24/20 11:13 AM;($39.34);$250.20;0.0;
45;MACDStrat(MACDStratSE);Sell to Open;-100.0;$278.21;4/24/20 11:13 AM;;$228.70;-100.0;
46;MACDStrat(MACDStratLE);Buy to Close;100.0;$278.41;4/24/20 11:14 AM;($20.50);$229.70;0.0;
47;MACDStrat(MACDStratLE);Buy to Open;100.0;$278.41;4/24/20 11:14 AM;;$226.30;100.0;
48;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.28;4/24/20 11:29 AM;$87.00;$316.70;0.0;
49;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.28;4/24/20 11:29 AM;;$332.70;-100.0;
50;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.05;4/24/20 11:36 AM;$23.00;$339.70;0.0;
51;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.05;4/24/20 11:36 AM;;$348.20;100.0;
52;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.15;4/24/20 11:55 AM;$10.00;$349.70;0.0;
53;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.15;4/24/20 11:55 AM;;$345.70;-100.0;
54;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.25;4/24/20 12:04 PM;($10.00);$339.70;0.0;
55;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.25;4/24/20 12:04 PM;;$339.70;100.0;
56;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.18;4/24/20 12:16 PM;($7.00);$332.70;0.0;
57;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.18;4/24/20 12:16 PM;;$313.70;-100.0;
58;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.42;4/24/20 12:18 PM;($24.00);$308.70;0.0;
59;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.42;4/24/20 12:18 PM;;$307.70;100.0;
60;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.17;4/24/20 12:20 PM;($25.00);$283.70;0.0;
61;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.17;4/24/20 12:20 PM;;$278.70;-100.0;
62;MACDStrat(MACDStratLE);Buy to Close;100.0;$279.50;4/24/20 12:22 PM;($32.99);$250.71;0.0;
63;MACDStrat(MACDStratLE);Buy to Open;100.0;$279.50;4/24/20 12:22 PM;;$252.72;100.0;
64;MACDStrat(MACDStratSE);Sell to Close;-100.0;$279.95;4/24/20 12:31 PM;$44.51;$295.22;0.0;
65;MACDStrat(MACDStratSE);Sell to Open;-100.0;$279.95;4/24/20 12:31 PM;;$302.71;-100.0;
66;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.19;4/24/20 12:39 PM;($24.51);$270.71;0.0;
67;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.19;4/24/20 12:39 PM;;$269.70;100.0;
68;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.32;4/24/20 12:46 PM;$12.99;$283.70;0.0;
69;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.32;4/24/20 12:46 PM;;$272.70;-100.0;
70;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.81;4/24/20 12:49 PM;($49.00);$234.70;0.0;
71;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.81;4/24/20 12:49 PM;;$219.70;100.0;
72;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.62;4/24/20 12:50 PM;($19.04);$215.66;0.0;
73;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.62;4/24/20 12:50 PM;;$219.62;-100.0;
74;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.63;4/24/20 1:02 PM;($1.04);$214.62;0.0;
75;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.63;4/24/20 1:02 PM;;$212.62;100.0;
76;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.60;4/24/20 1:10 PM;($3.50);$211.12;0.0;
77;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.60;4/24/20 1:10 PM;;$208.12;-100.0;
78;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.69;4/24/20 1:26 PM;($9.50);$201.62;0.0;
79;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.69;4/24/20 1:26 PM;;$199.62;100.0;
80;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.76;4/24/20 1:36 PM;$6.62;$208.24;0.0;
81;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.76;4/24/20 1:36 PM;;$197.86;-100.0;
82;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.00;4/24/20 1:40 PM;($24.38);$183.86;0.0;
83;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.00;4/24/20 1:40 PM;;$183.86;100.0;
84;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.97;4/24/20 1:45 PM;($3.00);$180.86;0.0;
85;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.97;4/24/20 1:45 PM;;$174.87;-100.0;
86;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.14;4/24/20 1:59 PM;($17.00);$163.86;0.0;
87;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.14;4/24/20 1:59 PM;;$169.86;100.0;
88;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.46;4/24/20 2:10 PM;$32.00;$195.86;0.0;
89;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.46;4/24/20 2:10 PM;;$190.78;-100.0;
90;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.73;4/24/20 2:15 PM;($27.00);$168.86;0.0;
91;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.73;4/24/20 2:15 PM;;$167.86;100.0;
92;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.74;4/24/20 2:19 PM;$0.50;$169.36;0.0;
93;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.74;4/24/20 2:19 PM;;$165.86;-100.0;
94;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.27;4/24/20 2:33 PM;$46.53;$215.89;0.0;
95;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.27;4/24/20 2:33 PM;;$199.92;100.0;
96;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.10;4/24/20 2:35 PM;($16.97);$198.92;0.0;
97;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.10;4/24/20 2:35 PM;;$181.92;-100.0;
98;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.27;4/24/20 2:36 PM;($17.00);$181.92;0.0;
99;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.27;4/24/20 2:36 PM;;$183.92;100.0;
100;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.39;4/24/20 2:52 PM;$12.00;$193.92;0.0;
101;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.39;4/24/20 2:52 PM;;$196.74;-100.0;
102;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.94;4/24/20 3:05 PM;$45.00;$238.92;0.0;
103;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.94;4/24/20 3:05 PM;;$236.92;100.0;
104;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.95;4/24/20 3:11 PM;$1.00;$239.92;0.0;
105;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.95;4/24/20 3:11 PM;;$240.92;-100.0;
106;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.31;4/24/20 3:14 PM;($36.00);$203.92;0.0;
107;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.31;4/24/20 3:14 PM;;$198.92;100.0;
108;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.48;4/24/20 3:22 PM;$17.00;$220.92;0.0;
109;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.48;4/24/20 3:22 PM;;$211.85;-100.0;
110;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.87;4/24/20 3:25 PM;($38.99);$181.93;0.0;
111;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.87;4/24/20 3:25 PM;;$169.94;100.0;
112;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.73;4/24/20 3:26 PM;($13.99);$167.94;0.0;
113;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.73;4/24/20 3:26 PM;;$158.94;-100.0;
114;MACDStrat(MACDStratLE);Buy to Close;100.0;$281.92;4/24/20 3:27 PM;($19.00);$148.94;0.0;
115;MACDStrat(MACDStratLE);Buy to Open;100.0;$281.92;4/24/20 3:27 PM;;$143.94;100.0;
116;MACDStrat(MACDStratSE);Sell to Close;-100.0;$281.91;4/24/20 3:30 PM;($1.00);$147.94;0.0;
117;MACDStrat(MACDStratSE);Sell to Open;-100.0;$281.91;4/24/20 3:30 PM;;$149.94;-100.0;
118;MACDStrat(MACDStratLE);Buy to Close;100.0;$282.00;4/24/20 3:39 PM;($9.00);$138.94;0.0;
119;MACDStrat(MACDStratLE);Buy to Open;100.0;$282.00;4/24/20 3:39 PM;;$138.94;100.0;
120;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.50;4/24/20 3:44 PM;$50.00;$188.94;0.0;
121;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.50;4/24/20 3:44 PM;;$187.94;-100.0;
122;MACDStrat(MACDStratLE);Buy to Close;100.0;$282.78;4/24/20 3:45 PM;($28.00);$160.94;0.0;
123;MACDStrat(MACDStratLE);Buy to Open;100.0;$282.78;4/24/20 3:45 PM;;$162.94;100.0;
124;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.68;4/24/20 3:46 PM;($10.00);$150.94;0.0;
125;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.68;4/24/20 3:46 PM;;$138.94;-100.0;
126;MACDStrat(MACDStratLE);Buy to Close;100.0;$283.01;4/24/20 3:50 PM;($33.00);$117.94;0.0;
127;MACDStrat(MACDStratLE);Buy to Open;100.0;$283.01;4/24/20 3:50 PM;;$84.94;100.0;
128;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.46;4/24/20 3:50 PM;($55.00);$62.94;0.0;
129;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.46;4/24/20 3:50 PM;;$50.94;-100.0;
130;MACDStrat(MACDStratLE);Buy to Close;100.0;$282.17;4/24/20 3:53 PM;$29.00;$91.94;0.0;
131;MACDStrat(MACDStratLE);Buy to Open;100.0;$282.17;4/24/20 3:53 PM;;$80.44;100.0;
132;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.65;4/24/20 3:58 PM;$48.00;$139.94;0.0;
133;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.65;4/24/20 3:58 PM;;$136.94;-100.0;
134;MACDStrat(MACDStratLE);Buy to Close;100.0;$282.84;4/24/20 3:59 PM;($19.00);$120.94;0.0;
135;MACDStrat(MACDStratLE);Buy to Open;100.0;$282.84;4/24/20 3:59 PM;;$131.94;100.0;
136;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.10;4/24/20 5:36 PM;($74.00);$46.94;0.0;
137;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.10;4/24/20 5:36 PM;;$45.94;-100.0;
138;MACDStrat(MACDStratLE);Buy to Close;100.0;$284.70;4/27/20 6:43 AM;($260.00);($213.06);0.0;
139;MACDStrat(MACDStratLE);Buy to Open;100.0;$284.70;4/27/20 6:43 AM;;($386.06);100.0;
140;MACDStrat(MACDStratSE);Sell to Close;-100.0;$283.05;4/27/20 8:59 AM;($165.00);($378.06);0.0;
141;MACDStrat(MACDStratSE);Sell to Open;-100.0;$283.05;4/27/20 8:59 AM;;($404.06);-100.0;
142;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.80;4/27/20 9:33 AM;$225.00;($153.06);0.0;
143;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.80;4/27/20 9:33 AM;;($146.06);100.0;
144;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.36;4/27/20 9:41 AM;($44.00);($197.06);0.0;
145;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.36;4/27/20 9:41 AM;;($186.07);-100.0;
146;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.83;4/27/20 9:43 AM;($47.00);($244.06);0.0;
147;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.83;4/27/20 9:43 AM;;($251.06);100.0;
148;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.54;4/27/20 9:44 AM;($29.00);($273.06);0.0;
149;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.54;4/27/20 9:44 AM;;($283.06);-100.0;
150;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.96;4/27/20 9:46 AM;($42.49);($315.55);0.0;
151;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.96;4/27/20 9:46 AM;;($313.04);100.0;
152;MACDStrat(MACDStratSE);Sell to Close;-100.0;$280.74;4/27/20 9:47 AM;($22.33);($337.88);0.0;
153;MACDStrat(MACDStratSE);Sell to Open;-100.0;$280.74;4/27/20 9:47 AM;;($354.72);-100.0;
154;MACDStrat(MACDStratLE);Buy to Close;100.0;$280.91;4/27/20 9:47 AM;($16.84);($354.72);0.0;
155;MACDStrat(MACDStratLE);Buy to Open;100.0;$280.91;4/27/20 9:47 AM;;($367.81);100.0;
156;MACDStrat(MACDStratSE);Sell to Close;-100.0;$282.85;4/27/20 9:53 AM;$194.00;($160.72);0.0;
157;MACDStrat(MACDStratSE);Sell to Open;-100.0;$282.85;4/27/20 9:53 AM;;($178.72);-100.0;
158;MACDStrat(MACDStratLE);Buy to Close;100.0;$283.58;4/27/20 9:54 AM;($73.00);($233.72);0.0;
159;MACDStrat(MACDStratLE);Buy to Open;100.0;$283.58;4/27/20 9:54 AM;;($233.22);100.0;
160;MACDStrat(MACDStratSE);Sell to Close;-100.0;$283.27;4/27/20 9:55 AM;($31.00);($264.72);0.0;
161;MACDStrat(MACDStratSE);Sell to Open;-100.0;$283.27;4/27/20 9:55 AM;;($274.72);-100.0;
162;MACDStrat(MACDStratLE);Buy to Close;100.0;$283.88;4/27/20 9:58 AM;($61.00);($325.72);0.0;
163;MACDStrat(MACDStratLE);Buy to Open;100.0;$283.88;4/27/20 9:58 AM;;($323.72);100.0;
164;MACDStrat(MACDStratSE);Sell to Close;-100.0;$283.83;4/27/20 9:59 AM;($4.50);($330.22);0.0;
165;MACDStrat(MACDStratSE);Sell to Open;-100.0;$283.83;4/27/20 9:59 AM;;($364.72);-100.0;
166;MACDStrat(MACDStratLE);Buy to Close;100.0;$284.17;4/27/20 9:59 AM;($33.50);($363.72);0.0;
167;MACDStrat(MACDStratLE);Buy to Open;100.0;$284.17;4/27/20 9:59 AM;;($375.23);100.0;
168;MACDStrat(MACDStratSE);Sell to Close;-100.0;$283.74;4/27/20 10:00 AM;($43.27);($406.99);0.0;
169;MACDStrat(MACDStratSE);Sell to Open;-100.0;$283.74;4/27/20 10:00 AM;;($415.26);-100.0;
170;MACDStrat(MACDStratLE);Buy to Close;100.0;$284.49;4/27/20 10:03 AM;($75.27);($482.26);0.0;
171;MACDStrat(MACDStratLE);Buy to Open;100.0;$284.49;4/27/20 10:03 AM;;($489.26);100.0;
172;MACDStrat(MACDStratSE);Sell to Close;-100.0;$284.36;4/27/20 10:05 AM;($13.00);($495.26);0.0;
173;MACDStrat(MACDStratSE);Sell to Open;-100.0;$284.36;4/27/20 10:05 AM;;($501.27);-100.0;
174;MACDStrat(MACDStratLE);Buy to Close;100.0;$283.76;4/27/20 10:15 AM;$60.44;($434.82);0.0;
175;MACDStrat(MACDStratLE);Buy to Open;100.0;$283.76;4/27/20 10:15 AM;;($478.38);100.0;
176;MACDStrat(MACDStratSE);Sell to Close;-100.0;$283.32;4/27/20 10:15 AM;($43.56);($478.38);0.0;
177;MACDStrat(MACDStratSE);Sell to Open;-100.0;$283.32;4/27/20 10:15 AM;;($471.88);-100.0;
