Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:47 AM - 5/1/20 12:24 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$277.88;4/24/20 9:47 AM;;$1.00;-100.0;
2;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$278.53;4/24/20 9:50 AM;($65.20);($65.20);0.0;
3;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$278.53;4/24/20 9:50 AM;;($62.40);100.0;
4;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$278.01;4/24/20 9:55 AM;($52.30);($117.50);0.0;
5;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$278.01;4/24/20 9:55 AM;;($93.60);-100.0;
6;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$277.99;4/24/20 10:03 AM;$1.90;($115.60);0.0;
7;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$277.99;4/24/20 10:03 AM;;($116.60);100.0;
8;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$278.29;4/24/20 10:10 AM;$30.00;($85.60);0.0;
9;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$278.29;4/24/20 10:10 AM;;($105.60);-100.0;
10;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$278.79;4/24/20 10:12 AM;($50.46);($136.06);0.0;
11;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$278.79;4/24/20 10:12 AM;;($115.52);100.0;
12;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$279.77;4/24/20 10:57 AM;$97.04;($39.02);0.0;
13;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$279.77;4/24/20 10:57 AM;;($34.52);-100.0;
14;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$279.39;4/24/20 11:26 AM;$37.51;($1.51);0.0;
15;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$279.39;4/24/20 11:26 AM;;$1.50;100.0;
16;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$281.19;4/24/20 2:33 PM;$179.73;$178.22;0.0;
17;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$281.19;4/24/20 2:33 PM;;$170.01;-100.0;
18;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$281.49;4/24/20 3:18 PM;($30.27);$147.95;0.0;
19;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$281.49;4/24/20 3:18 PM;;$157.96;100.0;
20;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$281.91;4/24/20 3:51 PM;$42.11;$190.06;0.0;
21;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$281.91;4/24/20 3:51 PM;;$184.16;-100.0;
22;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$282.69;4/24/20 3:58 PM;($77.90);$112.16;0.0;
23;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$282.69;4/24/20 3:58 PM;;$114.66;100.0;
24;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$281.81;4/27/20 9:20 AM;($88.00);$24.16;0.0;
25;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$281.81;4/27/20 9:20 AM;;$15.16;-100.0;
26;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$280.99;4/27/20 9:46 AM;$82.00;$106.16;0.0;
27;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$280.99;4/27/20 9:46 AM;;$86.66;100.0;
28;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$283.25;4/27/20 10:16 AM;$226.00;$332.16;0.0;
29;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$283.25;4/27/20 10:16 AM;;$313.16;-100.0;
30;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$281.96;4/27/20 11:08 AM;$128.99;$461.15;0.0;
31;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$281.96;4/27/20 11:08 AM;;$449.14;100.0;
32;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$282.47;4/27/20 11:54 AM;$50.69;$511.84;0.0;
33;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$282.47;4/27/20 11:54 AM;;$506.54;-100.0;
34;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$282.06;4/27/20 12:39 PM;$40.70;$552.54;0.0;
35;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$282.06;4/27/20 12:39 PM;;$527.54;100.0;
36;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$281.24;4/27/20 1:05 PM;($82.00);$470.54;0.0;
37;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$281.24;4/27/20 1:05 PM;;$458.54;-100.0;
38;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$281.45;4/27/20 1:44 PM;($21.00);$449.54;0.0;
39;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$281.45;4/27/20 1:44 PM;;$436.54;100.0;
40;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$282.40;4/27/20 3:10 PM;$95.00;$544.54;0.0;
41;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$282.40;4/27/20 3:10 PM;;$541.54;-100.0;
42;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$283.12;4/27/20 3:20 PM;($72.00);$472.54;0.0;
43;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$283.12;4/27/20 3:20 PM;;$470.54;100.0;
44;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$282.41;4/27/20 3:32 PM;($70.70);$401.84;0.0;
45;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$282.41;4/27/20 3:32 PM;;$381.14;-100.0;
46;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$282.77;4/27/20 3:36 PM;($35.70);$366.14;0.0;
47;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$282.77;4/27/20 3:36 PM;;$357.14;100.0;
48;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$283.28;4/27/20 3:59 PM;$51.00;$417.14;0.0;
49;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$283.28;4/27/20 3:59 PM;;$426.14;-100.0;
50;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$283.25;4/27/20 3:59 PM;$3.50;$420.64;0.0;
51;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$283.25;4/27/20 3:59 PM;;$391.14;100.0;
52;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Close;-100.0;$284.65;4/28/20 9:41 AM;$140.50;$561.14;0.0;
53;MiddleHighLowMAStrat(MHL_MA_SE);Sell to Open;-100.0;$284.65;4/28/20 9:41 AM;;$566.14;-100.0;
54;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Close;100.0;$285.39;4/28/20 9:55 AM;($74.00);$487.14;0.0;
55;MiddleHighLowMAStrat(MHL_MA_LE);Buy to Open;100.0;$285.39;4/28/20 9:55 AM;;$465.81;100.0;
