Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:32 AM - 5/1/20 12:49 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.14;4/24/20 9:32 AM;;$27.00;-100.0;
2;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.18;4/24/20 9:33 AM;($3.50);($3.50);0.0;
3;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.18;4/24/20 9:33 AM;;($16.50);100.0;
4;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$278.02;4/24/20 9:33 AM;($15.50);($19.00);0.0;
5;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.02;4/24/20 9:33 AM;;($30.00);-100.0;
6;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.04;4/24/20 9:37 AM;($1.50);($20.50);0.0;
7;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.04;4/24/20 9:37 AM;;($4.00);100.0;
8;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$278.89;4/24/20 9:43 AM;$85.77;$65.27;0.0;
9;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.89;4/24/20 9:43 AM;;$83.53;-100.0;
10;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.25;4/24/20 9:48 AM;$63.82;$129.09;0.0;
11;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.25;4/24/20 9:48 AM;;$133.09;100.0;
12;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$278.08;4/24/20 9:49 AM;($17.45);$111.64;0.0;
13;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.08;4/24/20 9:49 AM;;$81.64;-100.0;
14;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.39;4/24/20 9:50 AM;($31.00);$80.64;0.0;
15;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.39;4/24/20 9:50 AM;;$91.64;100.0;
16;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;$4.00;$84.64;0.0;
17;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.43;4/24/20 9:53 AM;;$103.64;-100.0;
18;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.14;4/24/20 9:57 AM;$29.00;$113.64;0.0;
19;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.14;4/24/20 9:57 AM;;$85.64;100.0;
20;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$277.85;4/24/20 9:58 AM;($29.00);$84.64;0.0;
21;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$277.85;4/24/20 9:58 AM;;$99.64;-100.0;
22;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;$2.00;$86.64;0.0;
23;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$277.83;4/24/20 10:00 AM;;$86.64;100.0;
24;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$277.98;4/24/20 10:04 AM;$15.00;$101.64;0.0;
25;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$277.98;4/24/20 10:04 AM;;$92.64;-100.0;
26;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.11;4/24/20 10:04 AM;($13.00);$88.64;0.0;
27;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.11;4/24/20 10:04 AM;;$78.64;100.0;
28;MovAvgStrat(MovAvgStratSE);Sell to Close;-100.0;$278.01;4/24/20 10:04 AM;($10.00);$78.64;0.0;
29;MovAvgStrat(MovAvgStratSE);Sell to Open;-100.0;$278.01;4/24/20 10:04 AM;;$54.64;-100.0;
30;MovAvgStrat(MovAvgStratLE);Buy to Close;100.0;$278.24;4/24/20 10:05 AM;($23.00);$55.64;0.0;
31;MovAvgStrat(MovAvgStratLE);Buy to Open;100.0;$278.24;4/24/20 10:05 AM;;$76.64;100.0;
