Strategy report
Symbol: AAPL
Work Time: 4/24/20 7:43 AM - 5/1/20 12:23 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Open;-100.0;$276.00;4/24/20 7:43 AM;;($14.00);-100.0;
2;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Close;100.0;$277.00;4/24/20 8:51 AM;($100.00);($100.00);0.0;
3;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Open;100.0;$277.00;4/24/20 8:51 AM;;($169.00);100.0;
4;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Close;-100.0;$277.76;4/24/20 9:55 AM;$76.00;($24.00);0.0;
5;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Open;-100.0;$277.76;4/24/20 9:55 AM;;($9.00);-100.0;
6;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Close;100.0;$278.44;4/24/20 10:05 AM;($68.00);($92.00);0.0;
7;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Open;100.0;$278.44;4/24/20 10:05 AM;;($85.71);100.0;
8;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Close;-100.0;$279.80;4/24/20 10:48 AM;$136.00;$44.00;0.0;
9;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Open;-100.0;$279.80;4/24/20 10:48 AM;;$60.96;-100.0;
10;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Close;100.0;$279.30;4/24/20 11:23 AM;$50.00;$94.00;0.0;
11;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Open;100.0;$279.30;4/24/20 11:23 AM;;$91.00;100.0;
12;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Close;-100.0;$278.53;4/24/20 11:32 AM;($77.00);$17.00;0.0;
13;MovAvgTwoLinesStrat(MovAvgTwoLinesStratSE);Sell to Open;-100.0;$278.53;4/24/20 11:32 AM;;$29.96;-100.0;
14;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Close;100.0;$279.13;4/24/20 11:43 AM;($60.00);($43.00);0.0;
15;MovAvgTwoLinesStrat(MovAvgTwoLinesStratLE);Buy to Open;100.0;$279.13;4/24/20 11:43 AM;;($54.00);100.0;
