Strategy report
Symbol: AAPL
Work Time: 4/24/20 10:27 AM - 5/1/20 12:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$279.53;4/24/20 10:27 AM;;$8.40;100.0;
2;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$280.03;4/24/20 10:41 AM;$50.00;$50.00;0.0;
3;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$280.08;4/24/20 10:45 AM;;$48.99;100.0;
4;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$279.56;4/24/20 10:47 AM;($52.00);($2.00);0.0;
5;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$279.74;4/24/20 10:50 AM;;($24.00);100.0;
6;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$279.45;4/24/20 10:58 AM;($29.00);($31.00);0.0;
7;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$278.81;4/24/20 11:06 AM;;($35.00);100.0;
8;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$278.17;4/24/20 11:11 AM;($64.00);($95.00);0.0;
9;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$278.86;4/24/20 11:35 AM;;($88.00);100.0;
10;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$278.93;4/24/20 11:59 AM;$7.00;($88.00);0.0;
11;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$278.97;4/24/20 12:04 PM;;($59.91);100.0;
12;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$280.39;4/24/20 12:53 PM;$142.09;$54.09;0.0;
13;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$280.46;4/24/20 12:58 PM;;$64.06;100.0;
14;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$280.64;4/24/20 1:11 PM;$17.73;$71.82;0.0;
15;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$280.80;4/24/20 1:14 PM;;$70.83;100.0;
16;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$280.47;4/24/20 1:16 PM;($33.00);$38.82;0.0;
17;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$280.73;4/24/20 1:19 PM;;$27.82;100.0;
18;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$280.46;4/24/20 1:23 PM;($27.00);$11.82;0.0;
19;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$281.14;4/24/20 1:59 PM;;$17.82;100.0;
20;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$281.45;4/24/20 2:22 PM;$31.00;$42.82;0.0;
21;OnsetTrend(OnsetTrendLE);Buy to Open;100.0;$281.38;4/24/20 2:28 PM;;$27.82;100.0;
22;OnsetTrend(OnsetTrendLX);Sell to Close;-100.0;$281.25;4/24/20 2:55 PM;($13.00);$29.82;0.0;
