Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:14 AM - 5/1/20 12:48 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;PriceSwing(PriceSwingSE);Sell to Open;-100.0;$276.31;4/24/20 9:14 AM;;($88.00);-100.0;
2;PriceSwing(PriceSwingLX);Buy to Close;100.0;$277.86;4/24/20 9:32 AM;($155.00);($155.00);0.0;
3;PriceSwing(PriceSwingLE);Buy to Open;100.0;$278.18;4/24/20 9:33 AM;;($168.00);100.0;
4;PriceSwing(PriceSwingSX);Sell to Close;-100.0;$278.73;4/24/20 9:39 AM;$55.50;($99.50);0.0;
5;PriceSwing(PriceSwingSE);Sell to Open;-100.0;$278.77;4/24/20 9:42 AM;;($112.50);-100.0;
6;PriceSwing(PriceSwingLX);Buy to Close;100.0;$278.04;4/24/20 9:47 AM;$73.00;($26.50);0.0;
7;PriceSwing(PriceSwingLE);Buy to Open;100.0;$277.88;4/24/20 9:47 AM;;($27.50);100.0;
8;PriceSwing(PriceSwingSX);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;$55.00;$28.50;0.0;
9;PriceSwing(PriceSwingSE);Sell to Open;-100.0;$277.85;4/24/20 9:58 AM;;$43.50;-100.0;
10;PriceSwing(PriceSwingLX);Buy to Close;100.0;$278.45;4/24/20 10:05 AM;($60.00);($31.50);0.0;
11;PriceSwing(PriceSwingLE);Buy to Open;100.0;$278.50;4/24/20 10:06 AM;;($9.50);100.0;
12;PriceSwing(PriceSwingSX);Sell to Close;-100.0;$279.32;4/24/20 10:14 AM;$82.00;$50.50;0.0;
13;PriceSwing(PriceSwingSE);Sell to Open;-100.0;$279.23;4/24/20 10:14 AM;;$55.55;-100.0;
14;PriceSwing(PriceSwingLX);Buy to Close;100.0;$279.91;4/24/20 10:21 AM;($67.96);($17.46);0.0;
15;PriceSwing(PriceSwingLE);Buy to Open;100.0;$280.14;4/24/20 10:22 AM;;($11.46);100.0;
16;PriceSwing(PriceSwingSX);Sell to Close;-100.0;$279.53;4/24/20 10:29 AM;($61.00);($78.46);0.0;
17;PriceSwing(PriceSwingLE);Buy to Open;100.0;$279.50;4/24/20 10:31 AM;;($68.46);100.0;
18;PriceSwing(PriceSwingSX);Sell to Close;-100.0;$280.39;4/24/20 10:38 AM;$89.00;$10.54;0.0;
19;PriceSwing(PriceSwingSE);Sell to Open;-100.0;$280.23;4/24/20 10:39 AM;;($15.46);-100.0;
20;PriceSwing(PriceSwingLX);Buy to Close;100.0;$279.63;4/24/20 10:48 AM;$59.98;$70.52;0.0;
