Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:31 AM - 5/1/20 12:24 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;RSIStrat(RSI_SE);Sell to Open;-100.0;$277.96;4/24/20 9:31 AM;;($28.00);-100.0;
2;RSIStrat(RSI_LE);Buy to Close;100.0;$277.56;4/24/20 9:56 AM;$40.00;$40.00;0.0;
3;RSIStrat(RSI_LE);Buy to Open;100.0;$277.56;4/24/20 9:56 AM;;$51.70;100.0;
4;RSIStrat(RSI_SE);Sell to Close;-100.0;$279.65;4/24/20 10:20 AM;$209.00;$249.00;0.0;
5;RSIStrat(RSI_SE);Sell to Open;-100.0;$279.65;4/24/20 10:20 AM;;$255.00;-100.0;
6;RSIStrat(RSI_LE);Buy to Close;100.0;$278.63;4/24/20 11:06 AM;$102.00;$351.00;0.0;
7;RSIStrat(RSI_LE);Buy to Open;100.0;$278.63;4/24/20 11:06 AM;;$366.00;100.0;
8;RSIStrat(RSI_SE);Sell to Close;-100.0;$279.71;4/24/20 12:26 PM;$107.80;$458.80;0.0;
9;RSIStrat(RSI_SE);Sell to Open;-100.0;$279.71;4/24/20 12:26 PM;;$444.60;-100.0;
10;RSIStrat(RSI_LE);Buy to Close;100.0;$280.88;4/24/20 3:01 PM;($117.20);$341.60;0.0;
11;RSIStrat(RSI_LE);Buy to Open;100.0;$280.88;4/24/20 3:01 PM;;$338.60;100.0;
12;RSIStrat(RSI_SE);Sell to Close;-100.0;$281.81;4/24/20 3:19 PM;$93.00;$434.60;0.0;
13;RSIStrat(RSI_SE);Sell to Open;-100.0;$281.81;4/24/20 3:19 PM;;$440.60;-100.0;
14;RSIStrat(RSI_LE);Buy to Close;100.0;$284.70;4/27/20 6:43 AM;($289.00);$145.60;0.0;
15;RSIStrat(RSI_LE);Buy to Open;100.0;$284.70;4/27/20 6:43 AM;;($27.40);100.0;
16;RSIStrat(RSI_SE);Sell to Close;-100.0;$282.97;4/27/20 7:00 AM;($173.00);($27.40);0.0;
17;RSIStrat(RSI_SE);Sell to Open;-100.0;$282.97;4/27/20 7:00 AM;;($22.40);-100.0;
18;RSIStrat(RSI_LE);Buy to Close;100.0;$282.19;4/27/20 10:35 AM;$78.00;$50.60;0.0;
