Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:37 AM - 5/1/20 1:02 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$278.20;4/24/20 9:37 AM;;$20.01;100.0;
2;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$278.63;4/24/20 9:44 AM;$43.01;$43.01;0.0;
3;ReverseEMAStrat(ReverseEMA_SE);Sell to Open;-100.0;$277.44;4/24/20 9:59 AM;;$33.01;-100.0;
4;ReverseEMAStrat(ReverseEMA_SX);Buy to Close;100.0;$278.06;4/24/20 10:00 AM;($62.00);($18.99);0.0;
5;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$278.45;4/24/20 10:05 AM;;($19.99);100.0;
6;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$277.91;4/24/20 10:09 AM;($54.00);($72.99);0.0;
7;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$278.68;4/24/20 10:11 AM;;($62.99);100.0;
8;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$279.80;4/24/20 10:24 AM;$112.00;$39.01;0.0;
9;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$280.47;4/24/20 10:40 AM;;$25.01;100.0;
10;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$279.95;4/24/20 10:41 AM;($52.00);($12.99);0.0;
11;ReverseEMAStrat(ReverseEMA_SE);Sell to Open;-100.0;$279.56;4/24/20 10:47 AM;;($24.99);-100.0;
12;ReverseEMAStrat(ReverseEMA_SX);Buy to Close;100.0;$279.89;4/24/20 10:55 AM;($33.00);($45.99);0.0;
13;ReverseEMAStrat(ReverseEMA_SE);Sell to Open;-100.0;$279.45;4/24/20 10:58 AM;;($58.99);-100.0;
14;ReverseEMAStrat(ReverseEMA_SX);Buy to Close;100.0;$278.75;4/24/20 11:08 AM;$70.00;$24.01;0.0;
15;ReverseEMAStrat(ReverseEMA_SE);Sell to Open;-100.0;$278.42;4/24/20 11:10 AM;;$33.01;-100.0;
16;ReverseEMAStrat(ReverseEMA_SX);Buy to Close;100.0;$278.79;4/24/20 11:15 AM;($37.00);($12.99);0.0;
17;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$279.17;4/24/20 11:46 AM;;($29.99);100.0;
18;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$279.19;4/24/20 11:55 AM;$2.00;($10.99);0.0;
19;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$279.41;4/24/20 12:19 PM;;($29.99);100.0;
20;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$279.76;4/24/20 12:33 PM;$35.00;$24.01;0.0;
21;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$280.06;4/24/20 12:38 PM;;$37.51;100.0;
22;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$280.34;4/24/20 12:47 PM;$28.00;$52.01;0.0;
23;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$280.55;4/24/20 12:48 PM;;$62.01;100.0;
24;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$280.39;4/24/20 12:53 PM;($16.00);$36.01;0.0;
25;ReverseEMAStrat(ReverseEMA_LE);Buy to Open;100.0;$280.55;4/24/20 12:58 PM;;$21.01;100.0;
26;ReverseEMAStrat(ReverseEMA_LX);Sell to Close;-100.0;$280.39;4/24/20 1:02 PM;($16.38);$19.63;0.0;
