Strategy report
Symbol: AAPL
Work Time: 4/24/20 7:05 AM - 5/1/20 1:08 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$276.27;4/24/20 7:05 AM;;($27.00);100.0;
2;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$277.82;4/24/20 9:35 AM;$155.25;$155.25;0.0;
3;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$277.82;4/24/20 9:35 AM;;$145.50;-100.0;
4;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.04;4/24/20 9:37 AM;($21.25);$134.00;0.0;
5;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.04;4/24/20 9:37 AM;;$150.50;100.0;
6;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$278.71;4/24/20 9:43 AM;$67.51;$201.51;0.0;
7;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$278.71;4/24/20 9:43 AM;;$209.52;-100.0;
8;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.33;4/24/20 9:48 AM;$38.01;$239.52;0.0;
9;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.33;4/24/20 9:48 AM;;$234.79;100.0;
10;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$278.08;4/24/20 9:49 AM;($25.00);$214.52;0.0;
11;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$278.08;4/24/20 9:49 AM;;$184.52;-100.0;
12;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.39;4/24/20 9:50 AM;($31.00);$183.52;0.0;
13;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.39;4/24/20 9:50 AM;;$194.52;100.0;
14;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;$4.00;$187.52;0.0;
15;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$278.43;4/24/20 9:53 AM;;$206.52;-100.0;
16;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.14;4/24/20 9:57 AM;$29.00;$216.52;0.0;
17;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.14;4/24/20 9:57 AM;;$188.52;100.0;
18;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$277.71;4/24/20 9:58 AM;($43.00);$173.52;0.0;
19;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$277.71;4/24/20 9:58 AM;;$180.52;-100.0;
20;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$277.98;4/24/20 10:00 AM;($27.00);$146.52;0.0;
21;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$277.98;4/24/20 10:00 AM;;$157.52;100.0;
22;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$277.98;4/24/20 10:04 AM;$0.00;$146.52;0.0;
23;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$277.98;4/24/20 10:04 AM;;$137.52;-100.0;
24;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.24;4/24/20 10:05 AM;($26.00);$120.52;0.0;
25;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.24;4/24/20 10:05 AM;;$141.52;100.0;
26;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$278.26;4/24/20 10:09 AM;$2.01;$122.53;0.0;
27;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$278.26;4/24/20 10:09 AM;;$157.53;-100.0;
28;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.63;4/24/20 10:11 AM;($36.99);$85.54;0.0;
29;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.63;4/24/20 10:11 AM;;$90.27;100.0;
30;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$279.80;4/24/20 10:24 AM;$117.00;$202.54;0.0;
31;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$279.80;4/24/20 10:24 AM;;$213.54;-100.0;
32;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$279.63;4/24/20 10:28 AM;$17.50;$220.04;0.0;
33;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$279.63;4/24/20 10:28 AM;;$206.54;100.0;
34;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$279.44;4/24/20 10:30 AM;($18.50);$201.54;0.0;
35;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$279.44;4/24/20 10:30 AM;;$195.54;-100.0;
36;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$279.60;4/24/20 10:31 AM;($16.00);$185.54;0.0;
37;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$279.60;4/24/20 10:31 AM;;$185.54;100.0;
38;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$280.17;4/24/20 10:40 AM;$57.00;$242.54;0.0;
39;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$280.17;4/24/20 10:40 AM;;$264.54;-100.0;
40;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$280.08;4/24/20 10:46 AM;$9.00;$251.54;0.0;
41;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$280.08;4/24/20 10:46 AM;;$226.54;100.0;
42;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$279.84;4/24/20 10:46 AM;($24.00);$227.54;0.0;
43;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$279.84;4/24/20 10:46 AM;;$255.54;-100.0;
44;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$279.80;4/24/20 10:54 AM;$4.50;$232.04;0.0;
45;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$279.80;4/24/20 10:54 AM;;$242.54;100.0;
46;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$279.50;4/24/20 10:58 AM;($30.00);$202.04;0.0;
47;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$279.50;4/24/20 10:58 AM;;$207.54;-100.0;
48;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.87;4/24/20 11:07 AM;$62.51;$264.55;0.0;
49;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.87;4/24/20 11:07 AM;;$252.56;100.0;
50;SVEHaTypCross(SVEHaTypCross_SE);Sell to Close;-100.0;$278.58;4/24/20 11:09 AM;($29.49);$235.06;0.0;
51;SVEHaTypCross(SVEHaTypCross_SE);Sell to Open;-100.0;$278.58;4/24/20 11:09 AM;;$234.56;-100.0;
52;SVEHaTypCross(SVEHaTypCross_LE);Buy to Close;100.0;$278.79;4/24/20 11:15 AM;($21.50);$213.56;0.0;
53;SVEHaTypCross(SVEHaTypCross_LE);Buy to Open;100.0;$278.79;4/24/20 11:15 AM;;$233.56;100.0;
