Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:32 AM - 5/1/20 1:09 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.33;4/24/20 9:32 AM;;($18.00);100.0;
2;SVESC(SVESCBasicSE);Sell to Close;-100.0;$277.86;4/24/20 9:32 AM;($47.00);($47.00);0.0;
3;SVESC(SVESCBasicSE);Sell to Open;-100.0;$277.86;4/24/20 9:32 AM;;($77.00);-100.0;
4;SVESC(SVESCBasicLE);Buy to Close;100.0;$278.18;4/24/20 9:32 AM;($32.00);($79.00);0.0;
5;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.18;4/24/20 9:32 AM;;($74.60);100.0;
6;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$278.02;4/24/20 9:33 AM;($16.00);($95.00);0.0;
7;SVESC(SVESCBasicSE);Sell to Open;-100.0;$278.03;4/24/20 9:34 AM;;($102.00);-100.0;
8;SVESC(SVESCEarlySX);Buy to Close;100.0;$278.04;4/24/20 9:37 AM;($0.50);($95.50);0.0;
9;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.20;4/24/20 9:37 AM;;($75.49);100.0;
10;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$278.71;4/24/20 9:43 AM;$51.02;($44.48);0.0;
11;SVESC(SVESCBasicSE);Sell to Open;-100.0;$278.63;4/24/20 9:44 AM;;($52.48);-100.0;
12;SVESC(SVESCBasicLE);Buy to Close;100.0;$278.39;4/24/20 9:50 AM;$24.00;($20.48);0.0;
13;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.39;4/24/20 9:50 AM;;($9.48);100.0;
14;SVESC(SVESCBasicSE);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;$4.00;($16.48);0.0;
15;SVESC(SVESCBasicSE);Sell to Open;-100.0;$278.43;4/24/20 9:53 AM;;$2.52;-100.0;
16;SVESC(SVESCEarlySX);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;$60.00;$43.52;0.0;
17;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.06;4/24/20 10:00 AM;;$57.52;100.0;
18;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$278.26;4/24/20 10:09 AM;$20.01;$63.53;0.0;
19;SVESC(SVESCBasicSE);Sell to Open;-100.0;$277.91;4/24/20 10:09 AM;;$25.53;-100.0;
20;SVESC(SVESCEarlySX);Buy to Close;100.0;$278.50;4/24/20 10:10 AM;($59.00);$4.53;0.0;
21;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.68;4/24/20 10:11 AM;;$14.53;100.0;
22;SVESC(SVESCBasicSE);Sell to Close;-100.0;$279.80;4/24/20 10:24 AM;$112.00;$116.53;0.0;
23;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.80;4/24/20 10:24 AM;;$127.53;-100.0;
24;SVESC(SVESCBasicLE);Buy to Close;100.0;$279.60;4/24/20 10:31 AM;$20.00;$136.53;0.0;
25;SVESC(SVESCBasicLE);Buy to Open;100.0;$279.60;4/24/20 10:31 AM;;$136.53;100.0;
26;SVESC(SVESCBasicSE);Sell to Close;-100.0;$280.17;4/24/20 10:40 AM;$57.00;$193.53;0.0;
27;SVESC(SVESCBasicSE);Sell to Open;-100.0;$280.17;4/24/20 10:40 AM;;$215.53;-100.0;
28;SVESC(SVESCBasicLE);Buy to Close;100.0;$279.80;4/24/20 10:54 AM;$37.50;$231.03;0.0;
29;SVESC(SVESCBasicLE);Buy to Open;100.0;$279.80;4/24/20 10:54 AM;;$241.53;100.0;
30;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$279.73;4/24/20 10:58 AM;($6.50);$224.53;0.0;
31;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.50;4/24/20 10:58 AM;;$230.03;-100.0;
32;SVESC(SVESCEarlySX);Buy to Close;100.0;$278.52;4/24/20 11:15 AM;$97.51;$322.04;0.0;
33;SVESC(SVESCBasicLE);Buy to Open;100.0;$278.79;4/24/20 11:15 AM;;$342.04;100.0;
34;SVESC(SVESCBasicSE);Sell to Close;-100.0;$279.12;4/24/20 11:29 AM;$33.00;$355.04;0.0;
35;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.12;4/24/20 11:29 AM;;$363.04;-100.0;
36;SVESC(SVESCEarlySX);Buy to Close;100.0;$279.24;4/24/20 11:30 AM;($12.00);$343.04;0.0;
37;SVESC(SVESCBasicLE);Buy to Open;100.0;$279.05;4/24/20 11:36 AM;;$351.54;100.0;
38;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$278.88;4/24/20 11:41 AM;($17.00);$326.04;0.0;
39;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.04;4/24/20 11:56 AM;;$316.03;-100.0;
40;SVESC(SVESCBasicLE);Buy to Close;100.0;$279.25;4/24/20 12:04 PM;($21.00);$305.04;0.0;
41;SVESC(SVESCBasicLE);Buy to Open;100.0;$279.25;4/24/20 12:04 PM;;$305.04;100.0;
42;SVESC(SVESCBasicSE);Sell to Close;-100.0;$279.17;4/24/20 12:20 PM;($8.00);$297.04;0.0;
43;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.17;4/24/20 12:20 PM;;$292.04;-100.0;
44;SVESC(SVESCBasicLE);Buy to Close;100.0;$279.45;4/24/20 12:21 PM;($28.00);$269.04;0.0;
45;SVESC(SVESCBasicLE);Buy to Open;100.0;$279.45;4/24/20 12:21 PM;;$273.04;100.0;
46;SVESC(SVESCBasicSE);Sell to Close;-100.0;$279.76;4/24/20 12:33 PM;$31.00;$300.04;0.0;
47;SVESC(SVESCBasicSE);Sell to Open;-100.0;$279.76;4/24/20 12:33 PM;;$293.54;-100.0;
48;SVESC(SVESCEarlySX);Buy to Close;100.0;$279.91;4/24/20 12:34 PM;($14.83);$285.21;0.0;
49;SVESC(SVESCBasicLE);Buy to Open;100.0;$280.06;4/24/20 12:38 PM;;$298.71;100.0;
50;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$280.48;4/24/20 12:52 PM;$42.00;$327.21;0.0;
51;SVESC(SVESCBasicSE);Sell to Open;-100.0;$280.39;4/24/20 12:53 PM;;$326.21;-100.0;
52;SVESC(SVESCBasicLE);Buy to Close;100.0;$280.55;4/24/20 12:58 PM;($16.00);$311.21;0.0;
53;SVESC(SVESCBasicLE);Buy to Open;100.0;$280.55;4/24/20 12:58 PM;;$296.21;100.0;
54;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$280.43;4/24/20 12:59 PM;($12.00);$299.21;0.0;
55;SVESC(SVESCBasicSE);Sell to Open;-100.0;$280.48;4/24/20 1:11 PM;;$310.21;-100.0;
56;SVESC(SVESCEarlySX);Buy to Close;100.0;$280.80;4/24/20 1:14 PM;($32.00);$267.21;0.0;
57;SVESC(SVESCBasicLE);Buy to Open;100.0;$280.73;4/24/20 1:19 PM;;$256.21;100.0;
58;SVESC(SVESCBasicSE);Sell to Close;-100.0;$280.63;4/24/20 1:20 PM;($10.00);$257.21;0.0;
59;SVESC(SVESCBasicSE);Sell to Open;-100.0;$280.63;4/24/20 1:20 PM;;$259.21;-100.0;
60;SVESC(SVESCBasicLE);Buy to Close;100.0;$280.64;4/24/20 1:25 PM;($0.99);$256.22;0.0;
61;SVESC(SVESCBasicLE);Buy to Open;100.0;$280.64;4/24/20 1:25 PM;;$261.23;100.0;
62;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$280.50;4/24/20 1:27 PM;($14.49);$241.73;0.0;
63;SVESC(SVESCBasicSE);Sell to Open;-100.0;$280.98;4/24/20 1:49 PM;;$236.73;-100.0;
64;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.03;4/24/20 1:49 PM;($5.00);$236.73;0.0;
65;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.20;4/24/20 1:59 PM;;$242.73;100.0;
66;SVESC(SVESCBasicSE);Sell to Close;-100.0;$281.61;4/24/20 2:21 PM;$41.00;$277.73;0.0;
67;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.61;4/24/20 2:21 PM;;$266.73;-100.0;
68;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.73;4/24/20 2:22 PM;($12.00);$265.73;0.0;
69;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.31;4/24/20 2:36 PM;;$260.75;100.0;
70;SVESC(SVESCBasicSE);Sell to Close;-100.0;$281.20;4/24/20 2:38 PM;($10.98);$254.75;0.0;
71;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.20;4/24/20 2:38 PM;;$226.75;-100.0;
72;SVESC(SVESCBasicLE);Buy to Close;100.0;$281.48;4/24/20 2:39 PM;($28.00);$226.75;0.0;
73;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.48;4/24/20 2:39 PM;;$225.75;100.0;
74;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$281.20;4/24/20 2:42 PM;($28.00);$198.75;0.0;
75;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.23;4/24/20 2:44 PM;;$176.75;-100.0;
76;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.45;4/24/20 2:44 PM;($22.00);$176.75;0.0;
77;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.69;4/24/20 2:45 PM;;$169.75;100.0;
78;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$281.36;4/24/20 2:52 PM;($33.00);$143.75;0.0;
79;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.35;4/24/20 2:53 PM;;$156.46;-100.0;
80;SVESC(SVESCBasicLE);Buy to Close;100.0;$281.02;4/24/20 3:07 PM;$32.81;$176.56;0.0;
81;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.02;4/24/20 3:07 PM;;$187.66;100.0;
82;SVESC(SVESCBasicSE);Sell to Close;-100.0;$281.06;4/24/20 3:11 PM;$4.10;$180.66;0.0;
83;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.06;4/24/20 3:11 PM;;$191.86;-100.0;
84;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.30;4/24/20 3:13 PM;($24.00);$156.66;0.0;
85;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.39;4/24/20 3:15 PM;;$151.66;100.0;
86;SVESC(SVESCEarlyLX);Sell to Close;-100.0;$281.48;4/24/20 3:22 PM;$9.00;$165.66;0.0;
87;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.72;4/24/20 3:32 PM;;$155.66;-100.0;
88;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.89;4/24/20 3:33 PM;($16.57);$149.09;0.0;
89;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.88;4/24/20 3:36 PM;;$137.59;100.0;
90;SVESC(SVESCBasicSE);Sell to Close;-100.0;$281.76;4/24/20 3:36 PM;($12.00);$137.09;0.0;
91;SVESC(SVESCBasicSE);Sell to Open;-100.0;$281.76;4/24/20 3:36 PM;;$122.59;-100.0;
92;SVESC(SVESCEarlySX);Buy to Close;100.0;$281.91;4/24/20 3:37 PM;($15.50);$121.59;0.0;
93;SVESC(SVESCBasicLE);Buy to Open;100.0;$281.90;4/24/20 3:37 PM;;$122.59;100.0;
