Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:37 AM - 5/1/20 1:04 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Open;100.0;$278.40;4/24/20 9:37 AM;;$0.12;100.0;
2;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Close;-100.0;$278.62;4/24/20 9:38 AM;$22.00;$22.00;0.0;
3;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Open;-100.0;$278.62;4/24/20 9:38 AM;;$11.00;-100.0;
4;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Close;100.0;$279.07;4/24/20 9:42 AM;($45.00);($23.00);0.0;
5;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Open;100.0;$279.07;4/24/20 9:42 AM;;($11.00);100.0;
6;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Close;-100.0;$279.06;4/24/20 9:43 AM;($1.00);($24.00);0.0;
7;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Open;-100.0;$279.06;4/24/20 9:43 AM;;($6.00);-100.0;
8;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Close;100.0;$278.62;4/24/20 9:45 AM;$44.00;$20.00;0.0;
9;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Open;100.0;$278.62;4/24/20 9:45 AM;;$15.00;100.0;
10;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Close;-100.0;$278.24;4/24/20 9:46 AM;($38.00);($18.00);0.0;
11;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Open;-100.0;$278.24;4/24/20 9:46 AM;;($21.00);-100.0;
12;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Close;100.0;$278.25;4/24/20 9:48 AM;($1.45);($19.45);0.0;
13;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Open;100.0;$278.25;4/24/20 9:48 AM;;($15.45);100.0;
14;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Close;-100.0;$278.08;4/24/20 9:49 AM;($17.45);($36.90);0.0;
15;SVEZLRBPercBStrat(SVEZLRBPercB_SE);Sell to Open;-100.0;$278.08;4/24/20 9:49 AM;;($66.90);-100.0;
16;SVEZLRBPercBStrat(SVEZLRBPercB_LE);Buy to Close;100.0;$278.49;4/24/20 9:50 AM;($41.00);($77.90);0.0;
