Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:35 AM - 5/1/20 1:03 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$277.92;4/24/20 9:35 AM;;$4.50;100.0;
2;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$278.25;4/24/20 9:48 AM;$33.45;$33.45;0.0;
3;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$278.25;4/24/20 9:48 AM;;$29.45;-100.0;
4;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$278.76;4/24/20 9:52 AM;($50.55);($17.10);0.0;
5;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$278.76;4/24/20 9:52 AM;;($32.10);100.0;
6;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$278.01;4/24/20 9:55 AM;($75.10);($92.20);0.0;
7;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$278.01;4/24/20 9:55 AM;;($68.30);-100.0;
8;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$278.44;4/24/20 10:05 AM;($43.10);($135.30);0.0;
9;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$278.44;4/24/20 10:05 AM;;($129.01);100.0;
10;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$278.97;4/24/20 10:12 AM;$53.00;($82.30);0.0;
11;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$278.97;4/24/20 10:12 AM;;($74.30);-100.0;
12;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$279.52;4/24/20 10:21 AM;($55.00);($137.30);0.0;
13;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$279.52;4/24/20 10:21 AM;;($119.30);100.0;
14;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$279.29;4/24/20 10:26 AM;($23.00);($160.30);0.0;
15;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$279.29;4/24/20 10:26 AM;;($187.80);-100.0;
16;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$279.91;4/24/20 10:32 AM;($62.00);($222.30);0.0;
17;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$279.91;4/24/20 10:32 AM;;($215.30);100.0;
18;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$279.65;4/24/20 10:43 AM;($26.00);($248.30);0.0;
19;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$279.65;4/24/20 10:43 AM;;($264.30);-100.0;
20;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$279.24;4/24/20 11:30 AM;$41.00;($207.30);0.0;
21;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$279.24;4/24/20 11:30 AM;;($235.30);100.0;
22;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$279.04;4/24/20 11:38 AM;($20.00);($227.30);0.0;
23;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$279.04;4/24/20 11:38 AM;;($220.30);-100.0;
24;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$279.19;4/24/20 11:55 AM;($15.00);($242.30);0.0;
25;SentimentZone(SentimentZoneLE);Buy to Open;100.0;$279.19;4/24/20 11:55 AM;;($256.30);100.0;
26;SentimentZone(SentimentZoneSE);Sell to Close;-100.0;$279.22;4/24/20 12:13 PM;$3.00;($239.30);0.0;
27;SentimentZone(SentimentZoneSE);Sell to Open;-100.0;$279.22;4/24/20 12:13 PM;;($239.39);-100.0;
28;SentimentZone(SentimentZoneLE);Buy to Close;100.0;$279.45;4/24/20 12:21 PM;($23.00);($262.30);0.0;
