Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:57 AM - 5/1/20 1:08 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$278.14;4/24/20 9:57 AM;;$28.00;-100.0;
2;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$277.71;4/24/20 9:58 AM;$43.00;$43.00;0.0;
3;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$277.98;4/24/20 10:00 AM;;$32.00;-100.0;
4;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$278.05;4/24/20 10:02 AM;($7.00);$36.00;0.0;
5;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$278.45;4/24/20 10:05 AM;;$37.00;-100.0;
6;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$278.43;4/24/20 10:07 AM;$2.00;$38.00;0.0;
7;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$278.26;4/24/20 10:09 AM;;$3.00;100.0;
8;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$278.50;4/24/20 10:10 AM;$23.99;$61.99;0.0;
9;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.01;4/24/20 10:16 AM;;$82.99;100.0;
10;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.24;4/24/20 10:16 AM;$23.00;$84.99;0.0;
11;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.43;4/24/20 10:21 AM;;$93.99;100.0;
12;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.71;4/24/20 10:21 AM;$28.00;$112.99;0.0;
13;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.86;4/24/20 10:24 AM;;$106.99;100.0;
14;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.57;4/24/20 10:27 AM;($29.50);$83.49;0.0;
15;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$280.16;4/24/20 10:37 AM;;$106.49;100.0;
16;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$280.39;4/24/20 10:38 AM;$23.00;$106.49;0.0;
17;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$280.23;4/24/20 10:39 AM;;$106.49;100.0;
18;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$280.47;4/24/20 10:40 AM;$24.00;$130.49;0.0;
19;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$280.17;4/24/20 10:40 AM;;$108.49;100.0;
20;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.97;4/24/20 10:44 AM;($20.00);$110.49;0.0;
21;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.56;4/24/20 10:47 AM;;$122.49;100.0;
22;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.80;4/24/20 10:48 AM;$24.00;$134.49;0.0;
23;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.63;4/24/20 10:48 AM;;$123.47;100.0;
24;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.88;4/24/20 10:50 AM;$24.75;$159.24;0.0;
25;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$279.80;4/24/20 10:54 AM;;$148.74;-100.0;
26;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$279.73;4/24/20 10:58 AM;$6.50;$165.74;0.0;
27;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$278.87;4/24/20 11:07 AM;;$177.73;-100.0;
28;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$278.62;4/24/20 11:08 AM;$24.91;$190.65;0.0;
29;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$278.79;4/24/20 11:15 AM;;$170.65;-100.0;
30;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$279.17;4/24/20 11:25 AM;($38.00);$152.65;0.0;
31;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$279.39;4/24/20 11:26 AM;;$149.64;-100.0;
32;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$279.29;4/24/20 11:27 AM;$10.20;$162.85;0.0;
33;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$278.92;4/24/20 11:36 AM;;$148.85;-100.0;
34;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$278.98;4/24/20 11:38 AM;($6.00);$156.85;0.0;
35;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$279.18;4/24/20 11:39 AM;;$158.35;-100.0;
36;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$278.88;4/24/20 11:41 AM;$30.00;$186.85;0.0;
37;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.15;4/24/20 11:55 AM;;$190.85;100.0;
38;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$278.82;4/24/20 12:02 PM;($33.00);$153.85;0.0;
39;SimpleMeanReversion(SimpleMeanReversionSE);Sell to Open;-100.0;$279.25;4/24/20 12:04 PM;;$153.85;-100.0;
40;SimpleMeanReversion(SimpleMeanReversionSX);Buy to Close;100.0;$279.29;4/24/20 12:08 PM;($3.50);$150.35;0.0;
41;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.22;4/24/20 12:13 PM;;$150.44;100.0;
42;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.29;4/24/20 12:15 PM;$7.00;$157.35;0.0;
43;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.20;4/24/20 12:15 PM;;$154.35;100.0;
44;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.37;4/24/20 12:17 PM;$17.00;$174.35;0.0;
45;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.76;4/24/20 12:33 PM;;$180.85;100.0;
46;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.91;4/24/20 12:34 PM;$14.83;$189.18;0.0;
47;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$279.73;4/24/20 12:37 PM;;$209.68;100.0;
48;SimpleMeanReversion(SimpleMeanReversionLX);Sell to Close;-100.0;$279.94;4/24/20 12:37 PM;$21.00;$210.18;0.0;
49;SimpleMeanReversion(SimpleMeanReversionLE);Buy to Open;100.0;$280.32;4/24/20 12:46 PM;;$221.18;100.0;
