Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:42 AM - 5/1/20 1:08 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$278.77;4/24/20 9:42 AM;;$13.00;100.0;
2;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$278.89;4/24/20 9:43 AM;$12.27;$12.27;0.0;
3;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$277.49;4/24/20 9:59 AM;;$17.26;-100.0;
4;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;($34.01);($21.74);0.0;
5;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$277.99;4/24/20 10:03 AM;;($20.74);-100.0;
6;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$278.45;4/24/20 10:05 AM;($46.00);($67.74);0.0;
7;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$278.63;4/24/20 10:11 AM;;($63.01);100.0;
8;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.01;4/24/20 10:16 AM;$38.00;($29.74);0.0;
9;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.36;4/24/20 10:18 AM;;($15.74);100.0;
10;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.43;4/24/20 10:21 AM;$7.00;($22.74);0.0;
11;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.71;4/24/20 10:21 AM;;($1.74);100.0;
12;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.86;4/24/20 10:24 AM;$15.00;($7.74);0.0;
13;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.61;4/24/20 10:28 AM;;($7.12);100.0;
14;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.16;4/24/20 10:37 AM;$54.61;$46.87;0.0;
15;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.44;4/24/20 10:38 AM;;$25.87;100.0;
16;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.23;4/24/20 10:39 AM;($21.00);$25.87;0.0;
17;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.47;4/24/20 10:40 AM;;$11.87;100.0;
18;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.17;4/24/20 10:40 AM;($30.00);($4.13);0.0;
19;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.08;4/24/20 10:45 AM;;($5.14);100.0;
20;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.56;4/24/20 10:47 AM;($52.00);($56.13);0.0;
21;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$279.63;4/24/20 10:48 AM;;($45.11);-100.0;
22;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$279.88;4/24/20 10:50 AM;($24.75);($80.88);0.0;
23;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$279.52;4/24/20 10:51 AM;;($93.88);-100.0;
24;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$279.89;4/24/20 10:55 AM;($37.00);($117.88);0.0;
25;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$279.50;4/24/20 10:58 AM;;($112.38);-100.0;
26;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$278.81;4/24/20 11:06 AM;$68.50;($49.38);0.0;
27;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$278.58;4/24/20 11:09 AM;;($49.88);-100.0;
28;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$278.52;4/24/20 11:15 AM;$5.51;($43.87);0.0;
29;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.32;4/24/20 11:24 AM;;($59.37);100.0;
30;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.17;4/24/20 11:25 AM;($15.00);($58.87);0.0;
31;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.43;4/24/20 11:27 AM;;($73.86);100.0;
32;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.12;4/24/20 11:29 AM;($31.00);($89.87);0.0;
33;SimpleTrendChannel(TrendChannelSE);Sell to Open;-100.0;$278.88;4/24/20 11:41 AM;;($92.87);-100.0;
34;SimpleTrendChannel(TrendChannelCrossSX);Buy to Close;100.0;$279.17;4/24/20 11:46 AM;($29.00);($118.87);0.0;
35;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.41;4/24/20 11:51 AM;;($109.88);100.0;
36;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.15;4/24/20 11:55 AM;($26.00);($144.87);0.0;
37;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.42;4/24/20 12:18 PM;;($145.87);100.0;
38;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$279.82;4/24/20 12:30 PM;$40.00;($104.87);0.0;
39;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$279.94;4/24/20 12:37 PM;;($92.87);100.0;
40;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.32;4/24/20 12:46 PM;$38.00;($66.87);0.0;
41;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.53;4/24/20 12:48 PM;;($65.87);100.0;
42;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.56;4/24/20 12:52 PM;$3.00;($63.87);0.0;
43;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.49;4/24/20 12:56 PM;;($75.87);100.0;
44;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.27;4/24/20 1:01 PM;($22.03);($85.90);0.0;
45;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.54;4/24/20 1:02 PM;;($76.90);100.0;
46;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.60;4/24/20 1:10 PM;$5.50;($80.40);0.0;
47;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.80;4/24/20 1:14 PM;;($81.39);100.0;
48;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.46;4/24/20 1:15 PM;($34.00);($114.40);0.0;
49;SimpleTrendChannel(TrendChannelLE);Buy to Open;100.0;$280.73;4/24/20 1:19 PM;;($125.40);100.0;
50;SimpleTrendChannel(TrendChannelCrossLX);Sell to Close;-100.0;$280.46;4/24/20 1:23 PM;($27.00);($141.40);0.0;
