Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:31 AM - 5/1/20 1:09 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Stochastic(StochasticSE);Sell to Open;-100.0;$277.96;4/24/20 9:31 AM;;($28.00);-100.0;
2;Stochastic(StochasticLE);Buy to Close;100.0;$277.96;4/24/20 9:37 AM;$0.00;$0.00;0.0;
3;Stochastic(StochasticLE);Buy to Open;100.0;$277.96;4/24/20 9:37 AM;;$10.00;100.0;
4;Stochastic(StochasticSE);Sell to Close;-100.0;$278.45;4/24/20 9:39 AM;$49.00;$49.00;0.0;
5;Stochastic(StochasticSE);Sell to Open;-100.0;$278.45;4/24/20 9:39 AM;;$17.00;-100.0;
6;Stochastic(StochasticLE);Buy to Close;100.0;$278.62;4/24/20 9:45 AM;($17.00);$32.00;0.0;
7;Stochastic(StochasticLE);Buy to Open;100.0;$278.62;4/24/20 9:45 AM;;$27.00;100.0;
8;Stochastic(StochasticSE);Sell to Close;-100.0;$278.60;4/24/20 9:52 AM;($2.00);$30.00;0.0;
9;Stochastic(StochasticSE);Sell to Open;-100.0;$278.60;4/24/20 9:52 AM;;$33.00;-100.0;
10;Stochastic(StochasticLE);Buy to Close;100.0;$277.78;4/24/20 9:57 AM;$81.53;$111.53;0.0;
11;Stochastic(StochasticLE);Buy to Open;100.0;$277.78;4/24/20 9:57 AM;;$148.70;100.0;
12;Stochastic(StochasticSE);Sell to Close;-100.0;$278.05;4/24/20 10:02 AM;$26.53;$138.06;0.0;
13;Stochastic(StochasticSE);Sell to Open;-100.0;$278.05;4/24/20 10:02 AM;;$114.06;-100.0;
14;Stochastic(StochasticLE);Buy to Close;100.0;$278.50;4/24/20 10:10 AM;($45.00);$93.06;0.0;
15;Stochastic(StochasticLE);Buy to Open;100.0;$278.50;4/24/20 10:10 AM;;$107.06;100.0;
16;Stochastic(StochasticSE);Sell to Close;-100.0;$279.18;4/24/20 10:15 AM;$68.00;$161.06;0.0;
17;Stochastic(StochasticSE);Sell to Open;-100.0;$279.18;4/24/20 10:15 AM;;$151.06;-100.0;
18;Stochastic(StochasticLE);Buy to Close;100.0;$279.57;4/24/20 10:27 AM;($38.50);$122.56;0.0;
19;Stochastic(StochasticLE);Buy to Open;100.0;$279.57;4/24/20 10:27 AM;;$105.06;100.0;
20;Stochastic(StochasticSE);Sell to Close;-100.0;$279.90;4/24/20 10:34 AM;$33.00;$155.56;0.0;
21;Stochastic(StochasticSE);Sell to Open;-100.0;$279.90;4/24/20 10:34 AM;;$152.06;-100.0;
22;Stochastic(StochasticLE);Buy to Close;100.0;$280.11;4/24/20 10:42 AM;($21.50);$134.06;0.0;
23;Stochastic(StochasticLE);Buy to Open;100.0;$280.11;4/24/20 10:42 AM;;$133.06;100.0;
24;Stochastic(StochasticSE);Sell to Close;-100.0;$279.84;4/24/20 10:46 AM;($27.00);$107.06;0.0;
25;Stochastic(StochasticSE);Sell to Open;-100.0;$279.84;4/24/20 10:46 AM;;$135.06;-100.0;
26;Stochastic(StochasticLE);Buy to Close;100.0;$279.88;4/24/20 10:50 AM;($3.77);$103.29;0.0;
27;Stochastic(StochasticLE);Buy to Open;100.0;$279.88;4/24/20 10:50 AM;;$89.52;100.0;
28;Stochastic(StochasticSE);Sell to Close;-100.0;$278.62;4/24/20 11:08 AM;($125.69);($22.40);0.0;
29;Stochastic(StochasticSE);Sell to Open;-100.0;$278.62;4/24/20 11:08 AM;;($17.32);-100.0;
30;Stochastic(StochasticLE);Buy to Close;100.0;$278.60;4/24/20 11:12 AM;$2.24;($20.16);0.0;
31;Stochastic(StochasticLE);Buy to Open;100.0;$278.60;4/24/20 11:12 AM;;($22.00);100.0;
32;Stochastic(StochasticSE);Sell to Close;-100.0;$279.30;4/24/20 11:23 AM;$70.16;$50.00;0.0;
33;Stochastic(StochasticSE);Sell to Open;-100.0;$279.30;4/24/20 11:23 AM;;$53.00;-100.0;
34;Stochastic(StochasticLE);Buy to Close;100.0;$278.60;4/24/20 11:34 AM;$70.00;$120.00;0.0;
35;Stochastic(StochasticLE);Buy to Open;100.0;$278.60;4/24/20 11:34 AM;;$146.24;100.0;
36;Stochastic(StochasticSE);Sell to Close;-100.0;$278.88;4/24/20 11:41 AM;$28.00;$148.00;0.0;
37;Stochastic(StochasticSE);Sell to Open;-100.0;$278.88;4/24/20 11:41 AM;;$145.00;-100.0;
