Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:32 AM - 5/1/20 1:20 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SwingThree(SwingThreeLE);Buy to Open;100.0;$278.33;4/24/20 9:32 AM;;($18.00);100.0;
2;SwingThree(SwingThreeLX);Sell to Close;-100.0;$277.86;4/24/20 9:32 AM;($47.00);($47.00);0.0;
3;SwingThree(SwingThreeLE);Buy to Open;100.0;$278.04;4/24/20 9:37 AM;;($30.50);100.0;
4;SwingThree(SwingThreeLX);Sell to Close;-100.0;$278.45;4/24/20 9:39 AM;$41.50;($5.50);0.0;
5;SwingThree(SwingThreeLE);Buy to Open;100.0;$278.93;4/24/20 9:42 AM;;$7.70;100.0;
6;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.06;4/24/20 9:43 AM;$13.00;$7.50;0.0;
7;SwingThree(SwingThreeLE);Buy to Open;100.0;$278.62;4/24/20 9:45 AM;;$2.50;100.0;
8;SwingThree(SwingThreeLX);Sell to Close;-100.0;$278.56;4/24/20 9:46 AM;($6.00);$1.50;0.0;
9;SwingThree(SwingThreeSE);Sell to Open;-100.0;$278.08;4/24/20 9:49 AM;;($28.50);-100.0;
10;SwingThree(SwingThreeSX);Buy to Close;100.0;$278.39;4/24/20 9:50 AM;($31.00);($29.50);0.0;
11;SwingThree(SwingThreeSE);Sell to Open;-100.0;$277.64;4/24/20 9:59 AM;;($13.44);-100.0;
12;SwingThree(SwingThreeSX);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;($18.94);($48.44);0.0;
13;SwingThree(SwingThreeLE);Buy to Open;100.0;$278.50;4/24/20 10:10 AM;;($34.44);100.0;
14;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.18;4/24/20 10:15 AM;$68.00;$19.56;0.0;
15;SwingThree(SwingThreeLE);Buy to Open;100.0;$279.36;4/24/20 10:18 AM;;$33.56;100.0;
16;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.58;4/24/20 10:20 AM;$22.00;$41.56;0.0;
17;SwingThree(SwingThreeLE);Buy to Open;100.0;$279.71;4/24/20 10:21 AM;;$62.56;100.0;
18;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.98;4/24/20 10:22 AM;$26.97;$68.53;0.0;
19;SwingThree(SwingThreeLE);Buy to Open;100.0;$280.14;4/24/20 10:22 AM;;$74.53;100.0;
20;SwingThree(SwingThreeLX);Sell to Close;-100.0;$280.05;4/24/20 10:23 AM;($9.00);$59.53;0.0;
21;SwingThree(SwingThreeSX);Buy to Close;100.0;$279.53;4/24/20 10:27 AM;$0.00;$67.93;100.0;
22;SwingThree(SwingThreeSE);Sell to Open;-100.0;$279.53;4/24/20 10:27 AM;;$59.53;0.0;
23;SwingThree(SwingThreeLE);Buy to Open;100.0;$279.61;4/24/20 10:28 AM;;$60.15;100.0;
24;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.44;4/24/20 10:30 AM;($17.39);$42.14;0.0;
25;SwingThree(SwingThreeLE);Buy to Open;100.0;$279.60;4/24/20 10:32 AM;;$73.14;100.0;
26;SwingThree(SwingThreeLX);Sell to Close;-100.0;$280.30;4/24/20 10:37 AM;$70.00;$112.14;0.0;
27;SwingThree(SwingThreeLX);Sell to Close;-100.0;$280.23;4/24/20 10:39 AM;$0.00;$112.14;-100.0;
28;SwingThree(SwingThreeLE);Buy to Open;100.0;$280.23;4/24/20 10:39 AM;;$112.14;0.0;
29;SwingThree(SwingThreeLX);Sell to Close;-100.0;$280.47;4/24/20 10:40 AM;$0.00;$126.14;-100.0;
30;SwingThree(SwingThreeLE);Buy to Open;100.0;$280.47;4/24/20 10:40 AM;;$112.14;0.0;
31;SwingThree(SwingThreeSE);Sell to Open;-100.0;$279.65;4/24/20 10:43 AM;;$96.14;-100.0;
32;SwingThree(SwingThreeSX);Buy to Close;100.0;$279.97;4/24/20 10:44 AM;($32.00);$80.14;0.0;
33;SwingThree(SwingThreeLE);Buy to Open;100.0;$280.08;4/24/20 10:45 AM;;$79.13;100.0;
34;SwingThree(SwingThreeLX);Sell to Close;-100.0;$279.84;4/24/20 10:46 AM;($24.00);$56.14;0.0;
35;SwingThree(SwingThreeSE);Sell to Open;-100.0;$279.60;4/24/20 10:49 AM;;$31.14;-100.0;
36;SwingThree(SwingThreeSX);Buy to Close;100.0;$279.88;4/24/20 10:50 AM;($27.77);$28.37;0.0;
37;SwingThree(SwingThreeSE);Sell to Open;-100.0;$279.50;4/24/20 10:58 AM;;$33.87;-100.0;
38;SwingThree(SwingThreeSX);Buy to Close;100.0;$278.63;4/24/20 11:06 AM;$86.50;$114.87;0.0;
