Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:56 AM - 5/1/20 12:24 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$277.56;4/24/20 9:56 AM;;$11.70;100.0;
2;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$280.30;4/24/20 10:37 AM;$273.50;$273.50;0.0;
3;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$280.30;4/24/20 10:37 AM;;$260.01;-100.0;
4;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$278.63;4/24/20 11:06 AM;$166.50;$440.00;0.0;
5;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$278.63;4/24/20 11:06 AM;;$455.00;100.0;
6;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$280.88;4/24/20 1:09 PM;$224.50;$664.50;0.0;
7;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$280.88;4/24/20 1:09 PM;;$665.00;-100.0;
8;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$281.29;4/24/20 2:24 PM;($41.82);$622.68;0.0;
9;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$281.29;4/24/20 2:24 PM;;$611.36;100.0;
10;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$281.45;4/24/20 3:09 PM;$15.68;$638.36;0.0;
11;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$281.45;4/24/20 3:09 PM;;$634.36;-100.0;
12;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$284.70;4/27/20 6:43 AM;($325.00);$313.36;0.0;
13;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$284.70;4/27/20 6:43 AM;;$140.36;100.0;
14;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$282.13;4/27/20 9:50 AM;($257.00);$56.36;0.0;
15;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$282.13;4/27/20 9:50 AM;;$54.37;-100.0;
16;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$283.71;4/27/20 10:11 AM;($158.00);($101.64);0.0;
17;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$283.71;4/27/20 10:11 AM;;($88.64);100.0;
18;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$281.93;4/27/20 11:11 AM;($178.00);($279.64);0.0;
19;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$281.93;4/27/20 11:11 AM;;($297.31);-100.0;
20;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$281.60;4/27/20 12:05 PM;$33.00;($246.64);0.0;
21;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$281.60;4/27/20 12:05 PM;;($257.64);100.0;
22;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$282.77;4/27/20 2:36 PM;$117.20;($129.44);0.0;
23;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$282.77;4/27/20 2:36 PM;;($137.24);-100.0;
24;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$282.85;4/27/20 2:49 PM;($7.80);($137.24);0.0;
25;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$282.85;4/27/20 2:49 PM;;($131.24);100.0;
26;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$283.08;4/27/20 3:21 PM;$23.50;($113.74);0.0;
27;TAC_DMI(TAC_DMI_SE);Sell to Open;-100.0;$283.08;4/27/20 3:21 PM;;($105.24);-100.0;
28;TAC_DMI(TAC_DMI_LE);Buy to Close;100.0;$284.58;4/28/20 9:39 AM;($149.50);($263.24);0.0;
29;TAC_DMI(TAC_DMI_LE);Buy to Open;100.0;$284.58;4/28/20 9:39 AM;;($274.24);100.0;
30;TAC_DMI(TAC_DMI_SE);Sell to Close;-100.0;$285.47;4/28/20 9:54 AM;$89.00;($174.24);0.0;
