Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:31 AM - 5/1/20 1:24 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$277.96;4/24/20 9:31 AM;;$28.00;100.0;
2;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$277.86;4/24/20 9:32 AM;($10.00);($10.00);0.0;
3;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Close;-100.0;$278.18;4/24/20 9:33 AM;$0.00;$3.00;-100.0;
4;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.18;4/24/20 9:33 AM;;($10.00);0.0;
5;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$278.18;4/24/20 9:33 AM;;$3.00;-100.0;
6;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$277.82;4/24/20 9:35 AM;$35.25;$25.25;0.0;
7;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$277.96;4/24/20 9:37 AM;;$15.25;-100.0;
8;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$278.40;4/24/20 9:37 AM;($44.00);($18.75);0.0;
9;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.62;4/24/20 9:38 AM;;($5.75);100.0;
10;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$278.75;4/24/20 9:38 AM;$13.00;($5.75);0.0;
11;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.62;4/24/20 9:38 AM;;$5.25;100.0;
12;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$279.42;4/24/20 9:43 AM;$80.00;$74.25;0.0;
13;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$279.31;4/24/20 9:43 AM;;$49.25;100.0;
14;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$278.71;4/24/20 9:44 AM;($60.00);$14.25;0.0;
15;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$278.57;4/24/20 9:45 AM;;$9.25;-100.0;
16;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$278.04;4/24/20 9:46 AM;$53.00;$67.25;0.0;
17;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$277.82;4/24/20 9:47 AM;;$61.25;-100.0;
18;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$277.88;4/24/20 9:47 AM;($6.00);$61.25;0.0;
19;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$277.87;4/24/20 9:47 AM;;$43.19;-100.0;
20;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$278.39;4/24/20 9:50 AM;($52.00);$9.25;0.0;
21;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.74;4/24/20 9:51 AM;;$15.25;100.0;
22;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$278.79;4/24/20 9:51 AM;$5.00;$14.25;0.0;
23;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.70;4/24/20 9:51 AM;;$23.25;100.0;
24;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$278.21;4/24/20 9:54 AM;($49.00);($34.75);0.0;
25;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$278.01;4/24/20 9:55 AM;;($10.85);-100.0;
26;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$277.76;4/24/20 9:55 AM;$24.90;($9.85);0.0;
27;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$277.56;4/24/20 9:56 AM;;($21.55);-100.0;
28;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$277.83;4/24/20 10:00 AM;($27.00);($36.85);0.0;
29;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.28;4/24/20 10:02 AM;;($59.85);100.0;
30;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$278.50;4/24/20 10:06 AM;$22.00;($14.85);0.0;
31;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.68;4/24/20 10:06 AM;;($18.08);100.0;
32;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$277.91;4/24/20 10:09 AM;($77.23);($92.08);0.0;
33;ThreePeriodDivergence(ThreePeriodDivergenceSE);Sell to Open;-100.0;$278.79;4/24/20 10:12 AM;;($112.62);-100.0;
34;ThreePeriodDivergence(ThreePeriodDivergenceSX);Buy to Close;100.0;$279.00;4/24/20 10:12 AM;($20.54);($112.62);0.0;
35;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$278.89;4/24/20 10:13 AM;;($96.62);100.0;
36;ThreePeriodDivergence(ThreePeriodDivergenceLX);Sell to Close;-100.0;$279.48;4/24/20 10:18 AM;$59.00;($53.62);0.0;
37;ThreePeriodDivergence(ThreePeriodDivergenceLE);Buy to Open;100.0;$279.62;4/24/20 10:19 AM;;($52.62);100.0;
