Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:32 AM - 5/1/20 1:20 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$278.33;4/24/20 9:32 AM;;($18.00);100.0;
2;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$278.20;4/24/20 9:37 AM;($13.01);($13.01);0.0;
3;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$278.20;4/24/20 9:37 AM;;($33.02);-100.0;
4;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$278.63;4/24/20 9:44 AM;($43.01);($56.02);0.0;
5;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$278.63;4/24/20 9:44 AM;;($48.02);100.0;
6;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$278.31;4/24/20 9:48 AM;($32.21);($88.23);0.0;
7;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$278.31;4/24/20 9:48 AM;;($81.44);-100.0;
8;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$278.43;4/24/20 9:53 AM;($12.21);($100.44);0.0;
9;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$278.43;4/24/20 9:53 AM;;($119.44);100.0;
10;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$277.85;4/24/20 9:58 AM;($58.00);($158.44);0.0;
11;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$277.85;4/24/20 9:58 AM;;($143.44);-100.0;
12;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$277.44;4/24/20 9:59 AM;$41.00;($117.44);0.0;
13;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$277.44;4/24/20 9:59 AM;;($107.44);100.0;
14;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$277.98;4/24/20 10:00 AM;$54.00;($63.44);0.0;
15;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$277.98;4/24/20 10:00 AM;;($74.44);-100.0;
16;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$278.11;4/24/20 10:04 AM;($13.00);($76.44);0.0;
17;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$278.11;4/24/20 10:04 AM;;($86.44);100.0;
18;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$278.44;4/24/20 10:05 AM;$33.00;($43.44);0.0;
19;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$278.44;4/24/20 10:05 AM;;($49.73);-100.0;
20;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$278.26;4/24/20 10:09 AM;$17.99;($25.45);0.0;
21;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$278.26;4/24/20 10:09 AM;;($60.45);100.0;
22;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$278.68;4/24/20 10:11 AM;$41.99;$16.54;0.0;
23;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$278.68;4/24/20 10:11 AM;;$6.54;-100.0;
24;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$279.80;4/24/20 10:24 AM;($112.00);($95.46);0.0;
25;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$279.80;4/24/20 10:24 AM;;($106.46);100.0;
26;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$279.47;4/24/20 10:29 AM;($33.00);($128.46);0.0;
27;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$279.47;4/24/20 10:29 AM;;($134.46);-100.0;
28;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$280.47;4/24/20 10:40 AM;($100.00);($228.46);0.0;
29;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$280.47;4/24/20 10:40 AM;;($242.46);100.0;
30;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$280.33;4/24/20 10:40 AM;($14.00);($242.46);0.0;
31;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$280.33;4/24/20 10:40 AM;;($227.46);-100.0;
32;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$279.95;4/24/20 10:41 AM;$38.00;($204.46);0.0;
33;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$279.95;4/24/20 10:41 AM;;($199.46);100.0;
34;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$280.08;4/24/20 10:46 AM;$13.00;($191.46);0.0;
35;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$280.08;4/24/20 10:46 AM;;($166.46);-100.0;
36;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$279.56;4/24/20 10:47 AM;$52.00;($139.46);0.0;
37;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$279.56;4/24/20 10:47 AM;;($127.46);100.0;
38;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$279.89;4/24/20 10:55 AM;$33.00;($106.46);0.0;
39;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$279.89;4/24/20 10:55 AM;;($96.46);-100.0;
40;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Close;100.0;$279.45;4/24/20 10:58 AM;$44.00;($62.46);0.0;
41;UniversalOscillatorStrat(UniversalOscillatorStratLE);Buy to Open;100.0;$279.45;4/24/20 10:58 AM;;($49.46);100.0;
42;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Close;-100.0;$278.87;4/24/20 11:07 AM;($58.01);($120.47);0.0;
43;UniversalOscillatorStrat(UniversalOscillatorStratSE);Sell to Open;-100.0;$278.87;4/24/20 11:07 AM;;($108.48);-100.0;
