Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:43 AM - 5/1/20 1:27 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$279.31;4/24/20 9:43 AM;;($25.00);100.0;
2;VHFTrend(MovAvgLX);Sell to Close;-100.0;$278.40;4/24/20 9:44 AM;($91.00);($91.00);0.0;
3;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$278.57;4/24/20 9:45 AM;;($86.00);100.0;
4;VHFTrend(MovAvgLX);Sell to Close;-100.0;$278.24;4/24/20 9:46 AM;($33.00);($124.00);0.0;
5;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$278.83;4/24/20 9:51 AM;;($138.50);100.0;
6;VHFTrend(MovAvgLX);Sell to Close;-100.0;$278.43;4/24/20 9:53 AM;($39.50);($163.50);0.0;
7;VHFTrend(VHF_StrongDowntrendSE);Sell to Open;-100.0;$277.44;4/24/20 9:59 AM;;($173.50);-100.0;
8;VHFTrend(MovAvgSX);Buy to Close;100.0;$278.20;4/24/20 10:01 AM;($76.00);($239.50);0.0;
9;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$278.24;4/24/20 10:01 AM;;($210.55);100.0;
10;VHFTrend(MovAvgLX);Sell to Close;-100.0;$278.05;4/24/20 10:02 AM;($19.00);($258.50);0.0;
11;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$279.48;4/24/20 10:18 AM;;($250.50);100.0;
12;VHFTrend(MovAvgLX);Sell to Close;-100.0;$279.39;4/24/20 10:26 AM;($9.00);($267.50);0.0;
13;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$280.36;4/24/20 10:36 AM;;($274.00);100.0;
14;VHFTrend(MovAvgLX);Sell to Close;-100.0;$279.90;4/24/20 10:43 AM;($46.00);($313.50);0.0;
15;VHFTrend(VHF_StrongDowntrendSE);Sell to Open;-100.0;$278.70;4/24/20 11:04 AM;;($301.50);-100.0;
16;VHFTrend(MovAvgSX);Buy to Close;100.0;$279.03;4/24/20 11:16 AM;($33.00);($346.50);0.0;
17;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$279.91;4/24/20 12:25 PM;;($367.50);100.0;
18;VHFTrend(MovAvgLX);Sell to Close;-100.0;$280.27;4/24/20 1:01 PM;$35.97;($310.53);0.0;
19;VHFTrend(VHF_StrongUptrendLE);Buy to Open;100.0;$281.80;4/24/20 2:17 PM;;($310.53);100.0;
20;VHFTrend(MovAvgLX);Sell to Close;-100.0;$281.46;4/24/20 2:23 PM;($34.00);($344.53);0.0;
