Strategy report
Symbol: AAPL
Work Time: 4/24/20 10:14 AM - 5/1/20 1:19 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$279.23;4/24/20 10:14 AM;;($5.05);100.0;
2;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$279.65;4/24/20 10:43 AM;$41.96;$41.96;0.0;
3;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$279.83;4/24/20 10:44 AM;;$55.96;100.0;
4;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$279.27;4/24/20 11:00 AM;($56.07);($14.11);0.0;
5;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$279.17;4/24/20 11:37 AM;;($27.11);100.0;
6;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$278.93;4/24/20 11:59 AM;($24.00);($38.11);0.0;
7;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$279.45;4/24/20 12:08 PM;;($54.11);100.0;
8;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$281.23;4/24/20 2:44 PM;$178.00;$139.89;0.0;
9;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$281.68;4/24/20 3:23 PM;;$146.89;100.0;
10;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$282.38;4/24/20 3:54 PM;$70.00;$209.89;0.0;
11;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$282.78;4/24/20 3:59 PM;;$211.89;100.0;
12;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$281.84;4/27/20 9:30 AM;($94.00);$115.89;0.0;
13;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$281.67;4/27/20 9:31 AM;;$120.89;100.0;
14;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$280.80;4/27/20 9:33 AM;($87.00);$28.89;0.0;
15;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$280.78;4/27/20 9:48 AM;;$49.89;100.0;
16;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$283.47;4/27/20 10:21 AM;$269.00;$297.89;0.0;
17;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$282.30;4/27/20 11:12 AM;;$308.88;100.0;
18;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$281.75;4/27/20 12:03 PM;($54.99);$242.90;0.0;
19;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$281.62;4/27/20 12:53 PM;;$253.90;100.0;
20;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$281.40;4/27/20 1:13 PM;($22.00);$220.90;0.0;
21;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$281.63;4/27/20 1:58 PM;;$227.90;100.0;
22;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$282.68;4/27/20 3:14 PM;$105.01;$325.91;0.0;
23;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$282.72;4/27/20 3:27 PM;;$304.90;100.0;
24;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$283.12;4/27/20 3:49 PM;$39.99;$365.90;0.0;
25;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$282.96;4/27/20 3:52 PM;;$356.30;100.0;
26;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$282.85;4/27/20 4:14 PM;($10.60);$355.30;0.0;
27;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$285.19;4/28/20 9:30 AM;;$342.30;100.0;
28;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$285.01;4/28/20 9:30 AM;($18.00);$337.30;0.0;
29;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$284.58;4/28/20 9:39 AM;;$326.30;100.0;
30;VWMABreakouts(VWMABreakoutsLX);Sell to Close;-100.0;$285.06;4/28/20 9:46 AM;$48.00;$385.30;0.0;
31;VWMABreakouts(VWMABreakoutsLE);Buy to Open;100.0;$284.83;4/28/20 9:57 AM;;$391.30;100.0;
