Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:55 AM - 5/1/20 11:16 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$277.61;4/24/20 9:55 AM;;$12.00;-100.0;
2;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$281.46;4/24/20 3:08 PM;($385.00);($385.00);0.0;
3;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$281.46;4/24/20 3:08 PM;;($388.00);100.0;
4;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$282.00;4/27/20 10:35 AM;$54.00;($331.00);0.0;
5;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$282.00;4/27/20 10:35 AM;;($339.00);-100.0;
6;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$283.50;4/27/20 3:50 PM;($150.00);($481.00);0.0;
7;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$283.50;4/27/20 3:50 PM;;($506.00);100.0;
8;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$284.05;4/28/20 10:19 AM;$55.00;($426.00);0.0;
9;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$284.05;4/28/20 10:19 AM;;($416.00);-100.0;
10;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$279.47;4/28/20 4:06 PM;$458.00;$32.00;0.0;
11;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$279.47;4/28/20 4:06 PM;;$74.00;100.0;
12;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$288.70;4/29/20 10:39 AM;$923.00;$955.00;0.0;
13;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$288.70;4/29/20 10:39 AM;;$930.59;-100.0;
14;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$288.50;4/29/20 4:07 PM;$20.00;$975.00;0.0;
15;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$288.50;4/29/20 4:07 PM;;$1,070.00;100.0;
16;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$291.63;4/30/20 10:12 AM;$313.00;$1,288.00;0.0;
17;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$291.63;4/30/20 10:12 AM;;$1,272.00;-100.0;
18;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$291.94;4/30/20 10:29 AM;($31.00);$1,257.00;0.0;
19;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$291.94;4/30/20 10:29 AM;;$1,265.00;100.0;
20;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$290.79;4/30/20 10:44 AM;($115.00);$1,142.00;0.0;
21;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$290.79;4/30/20 10:44 AM;;$1,160.00;-100.0;
22;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$292.49;4/30/20 3:23 PM;($169.50);$972.50;0.0;
23;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$292.49;4/30/20 3:23 PM;;$964.00;100.0;
24;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$291.65;4/30/20 3:42 PM;($83.50);$889.00;0.0;
25;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$291.65;4/30/20 3:42 PM;;$897.00;-100.0;
26;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$291.88;4/30/20 3:50 PM;($23.00);$866.00;0.0;
27;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$291.88;4/30/20 3:50 PM;;$844.00;100.0;
28;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$293.81;4/30/20 3:59 PM;$193.00;$1,059.00;0.0;
29;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$293.81;4/30/20 3:59 PM;;$1,062.00;-100.0;
30;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$298.00;4/30/20 4:30 PM;($419.00);$640.00;0.0;
31;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$298.00;4/30/20 4:30 PM;;$540.00;100.0;
32;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$292.52;4/30/20 4:38 PM;($548.00);$92.00;0.0;
33;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$292.52;4/30/20 4:38 PM;;$67.00;-100.0;
34;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$293.73;5/1/20 9:52 AM;($121.00);($29.00);0.0;
35;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$293.73;5/1/20 9:52 AM;;($43.00);100.0;
36;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$295.26;5/1/20 10:31 AM;$153.00;$124.00;0.0;
37;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$295.26;5/1/20 10:31 AM;;$115.00;-100.0;
38;VolatilityBand(VolatilityBandLE);Buy to Close;100.0;$296.02;5/1/20 10:55 AM;($76.00);$48.00;0.0;
39;VolatilityBand(VolatilityBandLE);Buy to Open;100.0;$296.02;5/1/20 10:55 AM;;$39.50;100.0;
40;VolatilityBand(VolatilityBandSE);Sell to Close;-100.0;$295.63;5/1/20 11:16 AM;($39.00);$9.00;0.0;
41;VolatilityBand(VolatilityBandSE);Sell to Open;-100.0;$295.63;5/1/20 11:16 AM;;($4.00);-100.0;


Max trade P/L: $923.00;

Total P/L: $9.00;

Total order(s): 20;
