Strategy report
Symbol: AAPL
Work Time: 4/24/20 9:42 AM - 5/1/20 1:32 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$278.77;4/24/20 9:42 AM;;$13.00;100.0;
2;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.06;4/24/20 9:43 AM;$29.00;$29.00;0.0;
3;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$278.71;4/24/20 9:44 AM;;($3.00);100.0;
4;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$278.08;4/24/20 9:49 AM;($63.00);($34.00);0.0;
5;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$277.78;4/24/20 9:57 AM;;$3.17;100.0;
6;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$277.85;4/24/20 9:58 AM;$6.53;($27.47);0.0;
7;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$277.55;4/24/20 9:59 AM;;$1.52;100.0;
8;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$278.28;4/24/20 10:02 AM;$73.00;$45.53;0.0;
9;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$278.29;4/24/20 10:10 AM;;$65.53;100.0;
10;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.01;4/24/20 10:16 AM;$72.00;$117.53;0.0;
11;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.24;4/24/20 10:16 AM;;$115.81;100.0;
12;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.43;4/24/20 10:21 AM;$19.00;$136.53;0.0;
13;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$279.80;4/24/20 10:25 AM;;$130.53;100.0;
14;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.47;4/24/20 10:29 AM;($33.00);$103.53;0.0;
15;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.60;4/24/20 10:31 AM;;$103.53;100.0;
16;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$280.16;4/24/20 10:37 AM;$56.00;$159.53;0.0;
17;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$280.03;4/24/20 10:41 AM;;$168.53;100.0;
18;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.84;4/24/20 10:46 AM;($19.00);$140.53;0.0;
19;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$279.70;4/24/20 10:47 AM;;$150.53;100.0;
20;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.65;4/24/20 10:54 AM;($5.01);$135.52;0.0;
21;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.80;4/24/20 10:54 AM;;$146.02;100.0;
22;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.73;4/24/20 10:58 AM;($6.50);$129.02;0.0;
23;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$278.60;4/24/20 11:12 AM;;$127.18;100.0;
24;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.17;4/24/20 11:25 AM;$57.16;$186.18;0.0;
25;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.39;4/24/20 11:26 AM;;$189.19;100.0;
26;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.29;4/24/20 11:27 AM;($10.20);$175.98;0.0;
27;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.34;4/24/20 11:28 AM;;$171.98;100.0;
28;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.28;4/24/20 11:29 AM;($6.00);$169.98;0.0;
29;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$278.82;4/24/20 11:32 AM;;$140.98;100.0;
30;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.04;4/24/20 11:38 AM;$22.00;$191.98;0.0;
31;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.09;4/24/20 11:45 AM;;$199.48;100.0;
32;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$278.99;4/24/20 11:47 AM;($10.50);$181.48;0.0;
33;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.20;4/24/20 11:48 AM;;$189.48;100.0;
34;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.34;4/24/20 11:53 AM;$14.00;$195.48;0.0;
35;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$278.82;4/24/20 12:02 PM;;$193.48;100.0;
36;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.29;4/24/20 12:08 PM;$46.50;$241.98;0.0;
37;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.45;4/24/20 12:21 PM;;$245.98;100.0;
38;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$279.82;4/24/20 12:30 PM;$37.00;$278.98;0.0;
39;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$279.95;4/24/20 12:31 PM;;$271.49;100.0;
40;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$279.73;4/24/20 12:37 PM;($21.50);$257.48;0.0;
41;VolSwitch(VolSwitchRangingLE);Buy to Open;100.0;$279.94;4/24/20 12:37 PM;;$269.48;100.0;
42;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$280.10;4/24/20 12:39 PM;$16.00;$273.48;0.0;
43;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$280.49;4/24/20 12:45 PM;;$255.98;100.0;
44;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$280.32;4/24/20 12:46 PM;($16.50);$256.98;0.0;
45;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$280.53;4/24/20 12:48 PM;;$257.98;100.0;
46;VolSwitch(VolSwitchRangingLX);Sell to Close;-100.0;$280.66;4/24/20 12:49 PM;$13.00;$269.98;0.0;
47;VolSwitch(VolSwitchTrendingLE);Buy to Open;100.0;$280.49;4/24/20 12:56 PM;;$257.98;100.0;
48;VolSwitch(VolSwitchTrendingLX);Sell to Close;-100.0;$280.38;4/24/20 12:57 PM;($11.50);$258.48;0.0;
